2019-01-15 17:51:07.441734: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:51:07.441911: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.005: took 27.622 ms
[   1] 0.033: took 9.447 ms
[   2] 0.042: took 10.174 ms
[   3] 0.053: took 10.128 ms
[   4] 0.063: took 9.634 ms
[   5] 0.072: took 9.775 ms
[   6] 0.082: took 9.827 ms
[   7] 0.092: took 9.882 ms
[   8] 0.102: took 9.658 ms
[   9] 0.112: took 9.674 ms
[  10] 0.122: took 9.610 ms
[  11] 0.131: took 9.652 ms
[  12] 0.141: took 9.664 ms
[  13] 0.151: took 9.739 ms
[  14] 0.161: took 9.789 ms
[  15] 0.170: took 9.807 ms
[  16] 0.180: took 9.840 ms
[  17] 0.190: took 9.719 ms
[  18] 0.200: took 9.799 ms
[  19] 0.210: took 9.867 ms
[  20] 0.220: took 9.625 ms
[  21] 0.230: took 9.724 ms
[  22] 0.239: took 9.872 ms
[  23] 0.249: took 9.819 ms
[  24] 0.259: took 9.674 ms
[  25] 0.269: took 9.729 ms
[  26] 0.279: took 9.778 ms
[  27] 0.289: took 9.890 ms
[  28] 0.299: took 9.851 ms
[  29] 0.308: took 9.789 ms
[  30] 0.318: took 9.729 ms
[  31] 0.328: took 9.838 ms
[  32] 0.338: took 10.025 ms
[  33] 0.348: took 9.837 ms
[  34] 0.358: took 9.895 ms
[  35] 0.368: took 9.826 ms
[  36] 0.378: took 9.705 ms
[  37] 0.388: took 9.803 ms
[  38] 0.398: took 9.786 ms
[  39] 0.407: took 9.797 ms
[  40] 0.417: took 9.769 ms
[  41] 0.427: took 9.931 ms
[  42] 0.437: took 9.649 ms
[  43] 0.447: took 9.564 ms
[  44] 0.456: took 9.521 ms
[  45] 0.466: took 9.701 ms
[  46] 0.476: took 9.654 ms
[  47] 0.486: took 9.541 ms
[  48] 0.495: took 9.539 ms
[  49] 0.505: took 9.501 ms
[  50] 0.514: took 9.512 ms
[  51] 0.524: took 9.395 ms
[  52] 0.533: took 9.381 ms
[  53] 0.543: took 9.453 ms
[  54] 0.552: took 9.476 ms
[  55] 0.562: took 9.476 ms
[  56] 0.571: took 9.283 ms
[  57] 0.581: took 9.061 ms
[  58] 0.590: took 9.464 ms
[  59] 0.599: took 9.851 ms
[  60] 0.609: took 9.907 ms
[  61] 0.619: took 9.837 ms
[  62] 0.629: took 9.712 ms
[  63] 0.639: took 9.775 ms
[  64] 0.649: took 9.773 ms
[  65] 0.659: took 9.629 ms
[  66] 0.668: took 9.743 ms
[  67] 0.678: took 9.859 ms
[  68] 0.688: took 9.815 ms
[  69] 0.698: took 9.749 ms
[  70] 0.708: took 9.816 ms
[  71] 0.718: took 9.771 ms
[  72] 0.728: took 9.822 ms
[  73] 0.738: took 9.676 ms
[  74] 0.747: took 9.811 ms
[  75] 0.757: took 9.790 ms
[  76] 0.767: took 9.808 ms
[  77] 0.777: took 9.742 ms
[  78] 0.787: took 9.633 ms
[  79] 0.796: took 9.646 ms
[  80] 0.806: took 9.840 ms
[  81] 0.816: took 9.868 ms
[  82] 0.826: took 9.912 ms
[  83] 0.836: took 9.792 ms
[  84] 0.846: took 9.808 ms
[  85] 0.856: took 9.889 ms
[  86] 0.866: took 9.655 ms
[  87] 0.875: took 9.884 ms
[  88] 0.885: took 9.681 ms
[  89] 0.895: took 9.958 ms
[  90] 0.905: took 9.745 ms
[  91] 0.915: took 9.788 ms
[  92] 0.925: took 9.777 ms
[  93] 0.935: took 9.788 ms
[  94] 0.945: took 9.868 ms
[  95] 0.954: took 9.823 ms
[  96] 0.964: took 9.671 ms
[  97] 0.974: took 10.001 ms
[  98] 0.984: took 10.025 ms
[  99] 0.994: took 9.564 ms
[ 100] 1.004: took 9.513 ms
[ 101] 1.014: took 9.543 ms
[ 102] 1.023: took 9.479 ms
[ 103] 1.033: took 9.469 ms
[ 104] 1.042: took 9.516 ms
[ 105] 1.052: took 9.529 ms
[ 106] 1.061: took 9.692 ms
[ 107] 1.071: took 9.493 ms
[ 108] 1.081: took 9.626 ms
[ 109] 1.090: took 9.319 ms
[ 110] 1.100: took 9.050 ms
[ 111] 1.109: took 8.964 ms
[ 112] 1.118: took 9.112 ms
[ 113] 1.127: took 9.101 ms
[ 114] 1.136: took 9.078 ms
[ 115] 1.145: took 9.149 ms
[ 116] 1.155: took 9.438 ms
[ 117] 1.164: took 9.898 ms
[ 118] 1.174: took 9.735 ms
[ 119] 1.184: took 9.756 ms
[ 120] 1.194: took 9.729 ms
[ 121] 1.204: took 9.770 ms
[ 122] 1.213: took 9.704 ms
[ 123] 1.223: took 9.778 ms
[ 124] 1.233: took 9.749 ms
[ 125] 1.243: took 9.781 ms
[ 126] 1.253: took 9.725 ms
[ 127] 1.262: took 9.741 ms
[ 128] 1.272: took 9.742 ms
[ 129] 1.282: took 9.833 ms
[ 130] 1.292: took 9.592 ms
[ 131] 1.302: took 9.816 ms
[ 132] 1.312: took 9.745 ms
[ 133] 1.321: took 9.710 ms
[ 134] 1.331: took 9.831 ms
[ 135] 1.341: took 9.687 ms
[ 136] 1.351: took 9.739 ms
[ 137] 1.361: took 9.868 ms
[ 138] 1.371: took 9.713 ms
[ 139] 1.380: took 9.954 ms
[ 140] 1.390: took 9.872 ms
[ 141] 1.400: took 9.930 ms
[ 142] 1.410: took 9.823 ms
[ 143] 1.420: took 9.893 ms
[ 144] 1.430: took 9.748 ms
[ 145] 1.440: took 9.902 ms
[ 146] 1.450: took 9.945 ms
[ 147] 1.460: took 9.929 ms
[ 148] 1.470: took 9.859 ms
[ 149] 1.480: took 9.770 ms
[ 150] 1.490: took 9.857 ms
[ 151] 1.500: took 9.988 ms
[ 152] 1.510: took 9.743 ms
[ 153] 1.520: took 9.754 ms
[ 154] 1.529: took 9.784 ms
[ 155] 1.539: took 9.719 ms
[ 156] 1.549: took 9.656 ms
[ 157] 1.559: took 9.353 ms
[ 158] 1.568: took 9.615 ms
[ 159] 1.578: took 9.671 ms
[ 160] 1.588: took 9.556 ms
[ 161] 1.597: took 9.492 ms
[ 162] 1.607: took 9.476 ms
[ 163] 1.616: took 9.650 ms
[ 164] 1.626: took 9.322 ms
[ 165] 1.635: took 9.520 ms
