2019-01-15 17:52:23.640045: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:52:23.640212: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[ 159] 1.351: took 8.474 ms
[ 160] 1.360: took 8.295 ms
[ 161] 1.368: took 8.376 ms
[ 162] 1.376: took 8.368 ms
[ 163] 1.385: took 8.272 ms
[ 164] 1.393: took 8.225 ms
[ 165] 1.402: took 8.294 ms
[ 166] 1.410: took 8.385 ms
[ 167] 1.418: took 8.333 ms
[ 168] 1.427: took 8.239 ms
[ 169] 1.435: took 8.335 ms
[ 170] 1.443: took 8.346 ms
[ 171] 1.452: took 8.241 ms
[ 172] 1.460: took 8.229 ms
[ 173] 1.468: took 8.260 ms
[ 174] 1.477: took 8.361 ms
[ 175] 1.485: took 8.332 ms
[ 176] 1.494: took 8.428 ms
[ 177] 1.502: took 8.320 ms
[ 178] 1.510: took 8.461 ms
[ 179] 1.519: took 8.388 ms
[ 180] 1.528: took 8.405 ms
[ 181] 1.536: took 8.393 ms
[ 182] 1.544: took 8.360 ms
[ 183] 1.553: took 8.328 ms
[ 184] 1.561: took 8.309 ms
[ 185] 1.570: took 8.268 ms
[ 186] 1.578: took 8.392 ms
[ 187] 1.586: took 8.315 ms
[ 188] 1.595: took 8.378 ms
[ 189] 1.603: took 8.266 ms
[ 190] 1.612: took 8.242 ms
[ 191] 1.620: took 8.419 ms
[ 192] 1.628: took 8.346 ms
[ 193] 1.637: took 8.250 ms
[ 194] 1.645: took 8.325 ms
[ 195] 1.654: took 8.424 ms
[ 196] 1.662: took 8.512 ms
[ 197] 1.671: took 8.434 ms
[ 198] 1.679: took 8.246 ms
[ 199] 1.687: took 8.319 ms
[ 200] 1.696: took 8.376 ms
[ 201] 1.704: took 8.325 ms
[ 202] 1.713: took 8.335 ms
[ 203] 1.721: took 8.288 ms
[ 204] 1.729: took 8.298 ms
[ 205] 1.738: took 8.379 ms
[ 206] 1.746: took 8.353 ms
[ 207] 1.755: took 8.330 ms
[ 208] 1.763: took 8.328 ms
[ 209] 1.771: took 8.368 ms
[ 210] 1.780: took 8.432 ms
[ 211] 1.788: took 8.417 ms
[ 212] 1.797: took 8.271 ms
[ 213] 1.805: took 8.379 ms
[ 214] 1.814: took 8.545 ms
[ 215] 1.822: took 8.062 ms
[ 216] 1.830: took 7.604 ms
[ 217] 1.838: took 7.949 ms
[ 218] 1.846: took 8.409 ms
[ 219] 1.854: took 8.455 ms
[ 220] 1.863: took 8.247 ms
[ 221] 1.871: took 8.338 ms
[ 222] 1.880: took 8.425 ms
[ 223] 1.888: took 8.428 ms
[ 224] 1.897: took 8.455 ms
[ 225] 1.905: took 8.375 ms
[ 226] 1.914: took 8.324 ms
[ 227] 1.922: took 8.352 ms
[ 228] 1.931: took 8.348 ms
[ 229] 1.939: took 8.374 ms
[ 230] 1.947: took 8.464 ms
[ 231] 1.956: took 8.265 ms
[ 232] 1.964: took 8.290 ms
[ 233] 1.973: took 8.235 ms
[ 234] 1.981: took 8.366 ms
[ 235] 1.989: took 8.420 ms
[ 236] 1.998: took 8.357 ms
[ 237] 2.006: took 8.250 ms
[ 238] 2.015: took 8.370 ms
[ 239] 2.023: took 8.307 ms
[ 240] 2.031: took 8.236 ms
[ 241] 2.040: took 8.289 ms
[ 242] 2.048: took 8.332 ms
