2019-01-15 17:48:31.740265: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:48:31.740422: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.005: took 40.437 ms
[   1] 0.046: took 19.605 ms
[   2] 0.065: took 18.923 ms
[   3] 0.084: took 19.058 ms
[   4] 0.103: took 18.835 ms
[   5] 0.122: took 19.055 ms
[   6] 0.141: took 18.588 ms
[   7] 0.160: took 19.290 ms
[   8] 0.179: took 19.143 ms
[   9] 0.199: took 19.050 ms
[  10] 0.218: took 18.986 ms
[  11] 0.237: took 19.132 ms
[  12] 0.256: took 19.013 ms
[  13] 0.275: took 19.022 ms
[  14] 0.294: took 19.111 ms
[  15] 0.313: took 19.192 ms
[  16] 0.333: took 19.277 ms
[  17] 0.352: took 19.245 ms
[  18] 0.371: took 18.774 ms
[  19] 0.390: took 19.177 ms
[  20] 0.409: took 19.393 ms
[  21] 0.429: took 19.136 ms
[  22] 0.448: took 19.002 ms
[  23] 0.467: took 19.258 ms
[  24] 0.486: took 18.874 ms
[  25] 0.505: took 18.957 ms
[  26] 0.524: took 18.992 ms
[  27] 0.544: took 19.053 ms
[  28] 0.563: took 18.977 ms
[  29] 0.582: took 19.059 ms
[  30] 0.601: took 19.269 ms
[  31] 0.620: took 18.942 ms
[  32] 0.639: took 18.688 ms
[  33] 0.658: took 19.003 ms
[  34] 0.677: took 18.688 ms
[  35] 0.696: took 19.052 ms
[  36] 0.715: took 18.962 ms
[  37] 0.734: took 18.864 ms
[  38] 0.753: took 18.880 ms
[  39] 0.772: took 19.059 ms
[  40] 0.791: took 19.004 ms
[  41] 0.810: took 18.770 ms
[  42] 0.829: took 18.212 ms
[  43] 0.847: took 19.060 ms
[  44] 0.866: took 19.090 ms
[  45] 0.885: took 19.245 ms
[  46] 0.905: took 19.389 ms
[  47] 0.924: took 18.994 ms
[  48] 0.943: took 19.114 ms
[  49] 0.962: took 18.915 ms
[  50] 0.981: took 18.899 ms
[  51] 1.000: took 18.924 ms
[  52] 1.019: took 19.023 ms
[  53] 1.038: took 18.982 ms
[  54] 1.058: took 19.118 ms
[  55] 1.077: took 19.113 ms
[  56] 1.096: took 19.104 ms
[  57] 1.115: took 19.061 ms
[  58] 1.134: took 19.046 ms
[  59] 1.153: took 19.165 ms
[  60] 1.173: took 19.034 ms
[  61] 1.192: took 18.894 ms
[  62] 1.211: took 18.680 ms
[  63] 1.229: took 18.944 ms
[  64] 1.248: took 18.869 ms
[  65] 1.267: took 18.996 ms
[  66] 1.286: took 19.160 ms
[  67] 1.306: took 19.195 ms
[  68] 1.325: took 19.140 ms
[  69] 1.344: took 19.118 ms
[  70] 1.363: took 18.821 ms
[  71] 1.382: took 19.085 ms
[  72] 1.401: took 18.954 ms
[  73] 1.420: took 18.977 ms
[  74] 1.439: took 18.859 ms
[  75] 1.458: took 19.000 ms
[  76] 1.477: took 18.866 ms
[  77] 1.496: took 19.288 ms
[  78] 1.516: took 18.851 ms
[  79] 1.535: took 19.234 ms
[  80] 1.554: took 19.220 ms
[  81] 1.573: took 18.874 ms
[  82] 1.592: took 18.984 ms
[  83] 1.611: took 18.634 ms
[  84] 1.630: took 19.013 ms
[  85] 1.649: took 18.863 ms
[  86] 1.668: took 18.861 ms
[  87] 1.687: took 18.787 ms
[  88] 1.706: took 18.781 ms
[  89] 1.724: took 19.000 ms
[  90] 1.744: took 18.702 ms
[  91] 1.762: took 19.781 ms
[  92] 1.782: took 19.012 ms
[  93] 1.801: took 19.027 ms
[  94] 1.820: took 18.902 ms
[  95] 1.839: took 18.926 ms
[  96] 1.858: took 18.907 ms
[  97] 1.877: took 18.866 ms
[  98] 1.896: took 18.783 ms
[  99] 1.915: took 19.030 ms
[ 100] 1.934: took 19.149 ms
[ 101] 1.953: took 19.078 ms
[ 102] 1.973: took 19.000 ms
[ 103] 1.992: took 18.837 ms
[ 104] 2.010: took 19.343 ms
[ 105] 2.030: took 19.006 ms
[ 106] 2.049: took 19.193 ms
[ 107] 2.068: took 18.954 ms
[ 108] 2.087: took 19.150 ms
[ 109] 2.106: took 19.325 ms
[ 110] 2.126: took 19.087 ms
[ 111] 2.145: took 19.325 ms
[ 112] 2.164: took 18.976 ms
[ 113] 2.183: took 19.007 ms
[ 114] 2.202: took 19.124 ms
[ 115] 2.222: took 19.338 ms
[ 116] 2.241: took 19.047 ms
[ 117] 2.260: took 19.237 ms
[ 118] 2.279: took 19.078 ms
[ 119] 2.299: took 19.030 ms
[ 120] 2.318: took 19.008 ms
[ 121] 2.337: took 19.069 ms
[ 122] 2.356: took 18.908 ms
[ 123] 2.375: took 18.951 ms
[ 124] 2.394: took 19.231 ms
[ 125] 2.413: took 19.132 ms
[ 126] 2.432: took 18.921 ms
[ 127] 2.451: took 18.941 ms
[ 128] 2.470: took 18.907 ms
[ 129] 2.489: took 18.925 ms
[ 130] 2.508: took 18.809 ms
[ 131] 2.527: took 19.053 ms
[ 132] 2.546: took 18.861 ms
[ 133] 2.565: took 18.937 ms
[ 134] 2.584: took 18.802 ms
[ 135] 2.603: took 18.975 ms
[ 136] 2.622: took 18.972 ms
[ 137] 2.641: took 19.002 ms
[ 138] 2.660: took 18.910 ms
[ 139] 2.679: took 19.563 ms
[ 140] 2.699: took 18.928 ms
[ 141] 2.718: took 19.096 ms
[ 142] 2.737: took 18.931 ms
[ 143] 2.756: took 18.880 ms
[ 144] 2.775: took 18.831 ms
[ 145] 2.794: took 18.995 ms
[ 146] 2.813: took 18.807 ms
[ 147] 2.832: took 18.964 ms
[ 148] 2.851: took 19.028 ms
[ 149] 2.870: took 18.820 ms
[ 150] 2.889: took 18.894 ms
[ 151] 2.908: took 18.931 ms
[ 152] 2.927: took 18.965 ms
[ 153] 2.946: took 19.117 ms
[ 154] 2.965: took 18.988 ms
[ 155] 2.984: took 19.160 ms
[ 156] 3.003: took 18.986 ms
[ 157] 3.022: took 19.417 ms
[ 158] 3.042: took 19.129 ms
[ 159] 3.061: took 19.168 ms
[ 160] 3.080: took 19.029 ms
[ 161] 3.099: took 19.105 ms
[ 162] 3.119: took 19.141 ms
[ 163] 3.138: took 19.902 ms
[ 164] 3.158: took 18.961 ms
[ 165] 3.177: took 18.973 ms
