2019-01-15 17:49:50.861180: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:49:50.861326: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.005: took 29.513 ms
[   1] 0.035: took 11.736 ms
[   2] 0.046: took 11.726 ms
[   3] 0.058: took 11.252 ms
[   4] 0.070: took 11.333 ms
[   5] 0.081: took 11.289 ms
[   6] 0.092: took 11.740 ms
[   7] 0.104: took 12.536 ms
[   8] 0.117: took 12.424 ms
[   9] 0.129: took 12.384 ms
[  10] 0.142: took 12.236 ms
[  11] 0.154: took 12.114 ms
[  12] 0.166: took 12.327 ms
[  13] 0.179: took 12.198 ms
[  14] 0.191: took 12.445 ms
[  15] 0.203: took 12.385 ms
[  16] 0.216: took 12.450 ms
[  17] 0.228: took 12.437 ms
[  18] 0.241: took 12.226 ms
[  19] 0.253: took 12.461 ms
[  20] 0.266: took 12.454 ms
[  21] 0.278: took 12.250 ms
[  22] 0.291: took 12.055 ms
[  23] 0.303: took 12.387 ms
[  24] 0.315: took 12.230 ms
[  25] 0.327: took 12.068 ms
[  26] 0.340: took 11.955 ms
[  27] 0.352: took 11.995 ms
[  28] 0.364: took 11.784 ms
[  29] 0.375: took 11.914 ms
[  30] 0.387: took 12.004 ms
[  31] 0.400: took 11.814 ms
[  32] 0.411: took 11.836 ms
[  33] 0.423: took 11.828 ms
[  34] 0.435: took 12.025 ms
[  35] 0.447: took 12.028 ms
[  36] 0.459: took 12.044 ms
[  37] 0.472: took 11.861 ms
[  38] 0.483: took 12.003 ms
[  39] 0.496: took 11.938 ms
[  40] 0.508: took 12.106 ms
[  41] 0.520: took 11.439 ms
[  42] 0.531: took 11.774 ms
[  43] 0.543: took 12.368 ms
[  44] 0.555: took 12.356 ms
[  45] 0.568: took 12.117 ms
[  46] 0.580: took 12.282 ms
[  47] 0.592: took 12.446 ms
[  48] 0.605: took 12.337 ms
[  49] 0.617: took 12.216 ms
[  50] 0.630: took 12.383 ms
[  51] 0.642: took 12.218 ms
[  52] 0.654: took 12.365 ms
[  53] 0.667: took 12.294 ms
[  54] 0.679: took 12.304 ms
[  55] 0.692: took 12.084 ms
[  56] 0.704: took 12.242 ms
[  57] 0.716: took 12.382 ms
[  58] 0.728: took 12.420 ms
[  59] 0.741: took 12.336 ms
[  60] 0.753: took 12.408 ms
[  61] 0.766: took 12.097 ms
[  62] 0.778: took 12.147 ms
[  63] 0.790: took 12.155 ms
[  64] 0.802: took 11.892 ms
[  65] 0.814: took 11.929 ms
[  66] 0.826: took 12.033 ms
[  67] 0.839: took 12.059 ms
[  68] 0.851: took 11.904 ms
[  69] 0.863: took 11.995 ms
[  70] 0.875: took 12.021 ms
[  71] 0.887: took 11.953 ms
[  72] 0.899: took 11.860 ms
[  73] 0.911: took 11.808 ms
[  74] 0.923: took 11.958 ms
[  75] 0.935: took 12.046 ms
[  76] 0.947: took 11.745 ms
[  77] 0.959: took 11.316 ms
[  78] 0.970: took 12.296 ms
[  79] 0.982: took 12.574 ms
[  80] 0.995: took 12.260 ms
[  81] 1.007: took 12.255 ms
[  82] 1.020: took 12.374 ms
[  83] 1.032: took 12.467 ms
[  84] 1.045: took 12.147 ms
[  85] 1.057: took 12.646 ms
[  86] 1.070: took 12.094 ms
[  87] 1.082: took 12.143 ms
[  88] 1.094: took 12.182 ms
[  89] 1.106: took 12.169 ms
[  90] 1.118: took 12.147 ms
[  91] 1.131: took 12.164 ms
[  92] 1.143: took 12.143 ms
[  93] 1.155: took 12.385 ms
[  94] 1.168: took 12.117 ms
[  95] 1.180: took 12.215 ms
[  96] 1.192: took 12.373 ms
[  97] 1.204: took 12.066 ms
[  98] 1.217: took 12.113 ms
[  99] 1.229: took 11.965 ms
[ 100] 1.241: took 12.004 ms
[ 101] 1.253: took 12.054 ms
[ 102] 1.265: took 12.082 ms
[ 103] 1.277: took 12.074 ms
[ 104] 1.289: took 12.004 ms
[ 105] 1.301: took 11.805 ms
[ 106] 1.313: took 11.937 ms
[ 107] 1.325: took 12.042 ms
[ 108] 1.337: took 12.030 ms
[ 109] 1.349: took 12.188 ms
[ 110] 1.362: took 11.971 ms
[ 111] 1.374: took 12.069 ms
[ 112] 1.386: took 11.824 ms
[ 113] 1.398: took 11.202 ms
[ 114] 1.409: took 12.351 ms
[ 115] 1.421: took 12.301 ms
[ 116] 1.434: took 12.358 ms
[ 117] 1.446: took 12.153 ms
[ 118] 1.458: took 12.214 ms
[ 119] 1.471: took 12.311 ms
[ 120] 1.483: took 12.589 ms
[ 121] 1.496: took 12.101 ms
[ 122] 1.508: took 12.358 ms
[ 123] 1.520: took 12.237 ms
[ 124] 1.533: took 12.230 ms
[ 125] 1.545: took 12.242 ms
[ 126] 1.557: took 12.519 ms
[ 127] 1.570: took 12.450 ms
[ 128] 1.582: took 12.327 ms
[ 129] 1.595: took 12.515 ms
[ 130] 1.607: took 12.593 ms
[ 131] 1.620: took 12.425 ms
[ 132] 1.632: took 12.243 ms
[ 133] 1.645: took 12.058 ms
[ 134] 1.657: took 12.156 ms
[ 135] 1.669: took 11.865 ms
[ 136] 1.681: took 11.906 ms
[ 137] 1.693: took 11.856 ms
[ 138] 1.705: took 11.930 ms
[ 139] 1.717: took 11.882 ms
[ 140] 1.729: took 11.989 ms
[ 141] 1.741: took 11.802 ms
[ 142] 1.753: took 11.962 ms
[ 143] 1.765: took 11.874 ms
[ 144] 1.777: took 11.980 ms
[ 145] 1.789: took 12.027 ms
[ 146] 1.801: took 12.076 ms
[ 147] 1.813: took 11.974 ms
[ 148] 1.825: took 11.621 ms
[ 149] 1.837: took 11.040 ms
[ 150] 1.848: took 12.309 ms
[ 151] 1.860: took 12.387 ms
[ 152] 1.873: took 12.355 ms
[ 153] 1.885: took 12.238 ms
[ 154] 1.898: took 12.254 ms
[ 155] 1.910: took 12.186 ms
[ 156] 1.922: took 12.179 ms
[ 157] 1.934: took 12.473 ms
[ 158] 1.947: took 12.420 ms
[ 159] 1.959: took 12.162 ms
[ 160] 1.972: took 12.049 ms
[ 161] 1.984: took 12.053 ms
[ 162] 1.996: took 12.270 ms
[ 163] 2.008: took 12.288 ms
[ 164] 2.021: took 12.242 ms
[ 165] 2.033: took 12.253 ms
