2019-01-15 17:55:11.086041: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:55:11.086145: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.005: took 26.190 ms
[   1] 0.031: took 11.048 ms
[   2] 0.042: took 10.788 ms
[   3] 0.053: took 10.449 ms
[   4] 0.064: took 10.483 ms
[   5] 0.074: took 10.477 ms
[   6] 0.085: took 10.534 ms
[   7] 0.095: took 10.351 ms
[   8] 0.106: took 10.313 ms
[   9] 0.116: took 10.453 ms
[  10] 0.127: took 10.508 ms
[  11] 0.137: took 10.501 ms
[  12] 0.148: took 10.512 ms
[  13] 0.158: took 10.387 ms
[  14] 0.169: took 10.441 ms
[  15] 0.179: took 10.526 ms
[  16] 0.190: took 10.449 ms
[  17] 0.201: took 10.385 ms
[  18] 0.211: took 10.520 ms
[  19] 0.222: took 10.389 ms
[  20] 0.232: took 10.414 ms
[  21] 0.242: took 10.623 ms
[  22] 0.253: took 10.619 ms
[  23] 0.264: took 10.553 ms
[  24] 0.274: took 10.598 ms
[  25] 0.285: took 10.395 ms
[  26] 0.296: took 10.566 ms
[  27] 0.306: took 10.431 ms
[  28] 0.317: took 10.398 ms
[  29] 0.327: took 10.432 ms
[  30] 0.338: took 10.438 ms
[  31] 0.348: took 10.448 ms
[  32] 0.359: took 10.587 ms
[  33] 0.369: took 10.448 ms
[  34] 0.380: took 10.567 ms
[  35] 0.390: took 10.484 ms
[  36] 0.401: took 10.460 ms
[  37] 0.411: took 10.317 ms
[  38] 0.422: took 10.552 ms
[  39] 0.432: took 10.334 ms
[  40] 0.443: took 10.317 ms
[  41] 0.453: took 10.501 ms
[  42] 0.464: took 10.501 ms
[  43] 0.474: took 10.575 ms
[  44] 0.485: took 10.351 ms
[  45] 0.495: took 10.400 ms
[  46] 0.506: took 10.403 ms
[  47] 0.516: took 10.626 ms
[  48] 0.527: took 10.570 ms
[  49] 0.538: took 10.541 ms
[  50] 0.548: took 10.474 ms
[  51] 0.559: took 10.655 ms
[  52] 0.570: took 10.610 ms
[  53] 0.580: took 10.644 ms
[  54] 0.591: took 10.438 ms
[  55] 0.601: took 10.587 ms
[  56] 0.612: took 10.524 ms
[  57] 0.623: took 10.600 ms
[  58] 0.633: took 10.453 ms
[  59] 0.644: took 10.408 ms
[  60] 0.654: took 10.487 ms
[  61] 0.665: took 10.501 ms
[  62] 0.675: took 10.416 ms
[  63] 0.686: took 10.349 ms
[  64] 0.696: took 10.375 ms
[  65] 0.707: took 10.498 ms
[  66] 0.717: took 10.468 ms
[  67] 0.728: took 10.308 ms
[  68] 0.738: took 10.570 ms
[  69] 0.749: took 10.344 ms
[  70] 0.759: took 10.310 ms
[  71] 0.770: took 10.310 ms
[  72] 0.780: took 10.495 ms
[  73] 0.790: took 10.462 ms
[  74] 0.801: took 10.347 ms
[  75] 0.811: took 10.370 ms
[  76] 0.822: took 10.518 ms
[  77] 0.832: took 10.462 ms
[  78] 0.843: took 10.323 ms
[  79] 0.853: took 10.482 ms
[  80] 0.864: took 10.290 ms
[  81] 0.874: took 10.430 ms
[  82] 0.885: took 10.420 ms
[  83] 0.895: took 10.470 ms
[  84] 0.906: took 10.425 ms
[  85] 0.916: took 10.378 ms
[  86] 0.927: took 10.569 ms
[  87] 0.937: took 10.463 ms
[  88] 0.948: took 10.557 ms
[  89] 0.958: took 10.430 ms
[  90] 0.969: took 10.456 ms
[  91] 0.979: took 10.541 ms
[  92] 0.990: took 10.518 ms
[  93] 1.001: took 10.320 ms
[  94] 1.011: took 10.463 ms
[  95] 1.021: took 10.445 ms
[  96] 1.032: took 10.503 ms
[  97] 1.043: took 10.554 ms
[  98] 1.053: took 10.464 ms
[  99] 1.064: took 10.357 ms
[ 100] 1.074: took 10.373 ms
[ 101] 1.084: took 10.374 ms
[ 102] 1.095: took 10.366 ms
[ 103] 1.105: took 10.453 ms
[ 104] 1.116: took 10.568 ms
[ 105] 1.126: took 10.508 ms
[ 106] 1.137: took 10.348 ms
[ 107] 1.147: took 10.427 ms
[ 108] 1.158: took 10.504 ms
[ 109] 1.169: took 10.333 ms
[ 110] 1.179: took 10.541 ms
[ 111] 1.190: took 10.425 ms
[ 112] 1.200: took 10.554 ms
[ 113] 1.211: took 10.681 ms
[ 114] 1.221: took 10.570 ms
[ 115] 1.232: took 10.651 ms
[ 116] 1.243: took 10.704 ms
[ 117] 1.253: took 10.334 ms
[ 118] 1.264: took 10.723 ms
[ 119] 1.275: took 10.553 ms
[ 120] 1.285: took 10.615 ms
[ 121] 1.296: took 10.484 ms
[ 122] 1.306: took 10.397 ms
[ 123] 1.317: took 10.664 ms
[ 124] 1.328: took 10.345 ms
[ 125] 1.338: took 10.742 ms
[ 126] 1.349: took 10.539 ms
[ 127] 1.359: took 10.530 ms
[ 128] 1.370: took 10.466 ms
[ 129] 1.381: took 10.407 ms
[ 130] 1.391: took 10.339 ms
[ 131] 1.401: took 10.389 ms
[ 132] 1.412: took 10.359 ms
[ 133] 1.422: took 10.516 ms
[ 134] 1.433: took 10.459 ms
[ 135] 1.443: took 10.395 ms
[ 136] 1.454: took 10.300 ms
[ 137] 1.464: took 10.413 ms
[ 138] 1.475: took 10.291 ms
[ 139] 1.485: took 10.332 ms
[ 140] 1.495: took 10.282 ms
[ 141] 1.506: took 10.553 ms
[ 142] 1.516: took 10.355 ms
[ 143] 1.527: took 10.354 ms
[ 144] 1.537: took 10.535 ms
[ 145] 1.548: took 10.439 ms
[ 146] 1.558: took 10.582 ms
[ 147] 1.569: took 10.599 ms
[ 148] 1.580: took 10.482 ms
[ 149] 1.590: took 10.425 ms
[ 150] 1.601: took 10.561 ms
[ 151] 1.611: took 10.513 ms
[ 152] 1.622: took 10.632 ms
[ 153] 1.633: took 10.532 ms
[ 154] 1.643: took 10.441 ms
[ 155] 1.654: took 10.495 ms
[ 156] 1.664: took 10.435 ms
[ 157] 1.675: took 10.710 ms
[ 158] 1.685: took 10.620 ms
[ 159] 1.696: took 10.482 ms
[ 160] 1.707: took 10.392 ms
[ 161] 1.717: took 10.478 ms
[ 162] 1.728: took 10.358 ms
[ 163] 1.738: took 10.519 ms
[ 164] 1.749: took 10.518 ms
[ 165] 1.759: took 10.488 ms
