2019-01-15 17:57:54.093751: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:57:54.093860: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.005: took 23.143 ms
[   1] 0.028: took 7.790 ms
[   2] 0.036: took 7.399 ms
[   3] 0.044: took 7.436 ms
[   4] 0.051: took 7.527 ms
[   5] 0.059: took 7.543 ms
[   6] 0.066: took 7.428 ms
[   7] 0.074: took 7.764 ms
[   8] 0.082: took 7.527 ms
[   9] 0.089: took 7.422 ms
[  10] 0.097: took 7.600 ms
[  11] 0.104: took 7.461 ms
[  12] 0.112: took 7.453 ms
[  13] 0.119: took 7.503 ms
[  14] 0.127: took 7.522 ms
[  15] 0.135: took 7.448 ms
[  16] 0.142: took 7.476 ms
[  17] 0.150: took 7.548 ms
[  18] 0.157: took 7.455 ms
[  19] 0.165: took 7.444 ms
[  20] 0.172: took 7.842 ms
[  21] 0.180: took 7.488 ms
[  22] 0.188: took 7.385 ms
[  23] 0.195: took 7.526 ms
[  24] 0.203: took 7.452 ms
[  25] 0.210: took 7.486 ms
[  26] 0.218: took 7.508 ms
[  27] 0.225: took 7.491 ms
[  28] 0.233: took 7.534 ms
[  29] 0.241: took 7.525 ms
[  30] 0.248: took 7.452 ms
[  31] 0.256: took 7.443 ms
[  32] 0.263: took 7.550 ms
[  33] 0.271: took 7.462 ms
[  34] 0.278: took 7.449 ms
[  35] 0.286: took 7.479 ms
[  36] 0.293: took 7.518 ms
[  37] 0.301: took 7.524 ms
[  38] 0.308: took 7.524 ms
[  39] 0.316: took 7.452 ms
[  40] 0.324: took 7.899 ms
[  41] 0.332: took 7.398 ms
[  42] 0.339: took 7.446 ms
[  43] 0.347: took 7.548 ms
[  44] 0.354: took 7.799 ms
[  45] 0.362: took 7.538 ms
[  46] 0.370: took 7.410 ms
[  47] 0.377: took 7.535 ms
[  48] 0.385: took 7.344 ms
[  49] 0.392: took 7.412 ms
[  50] 0.400: took 7.356 ms
[  51] 0.407: took 7.460 ms
[  52] 0.415: took 7.461 ms
[  53] 0.422: took 7.418 ms
[  54] 0.430: took 7.492 ms
[  55] 0.437: took 7.559 ms
[  56] 0.445: took 8.120 ms
[  57] 0.453: took 7.486 ms
[  58] 0.460: took 7.483 ms
[  59] 0.468: took 7.496 ms
[  60] 0.476: took 7.454 ms
[  61] 0.483: took 7.469 ms
[  62] 0.491: took 7.444 ms
[  63] 0.498: took 7.511 ms
[  64] 0.506: took 7.406 ms
[  65] 0.513: took 7.424 ms
[  66] 0.521: took 7.539 ms
[  67] 0.528: took 7.528 ms
[  68] 0.536: took 7.445 ms
[  69] 0.543: took 7.534 ms
[  70] 0.551: took 7.537 ms
[  71] 0.559: took 7.566 ms
[  72] 0.566: took 7.381 ms
[  73] 0.574: took 7.639 ms
[  74] 0.581: took 7.551 ms
[  75] 0.589: took 7.402 ms
[  76] 0.596: took 7.506 ms
[  77] 0.604: took 7.396 ms
[  78] 0.611: took 7.502 ms
[  79] 0.619: took 7.494 ms
[  80] 0.627: took 7.605 ms
[  81] 0.634: took 7.416 ms
[  82] 0.642: took 7.472 ms
[  83] 0.649: took 7.429 ms
[  84] 0.657: took 7.510 ms
[  85] 0.664: took 7.473 ms
[  86] 0.672: took 7.517 ms
[  87] 0.679: took 7.576 ms
[  88] 0.687: took 7.492 ms
[  89] 0.695: took 7.513 ms
[  90] 0.702: took 7.476 ms
[  91] 0.710: took 7.472 ms
[  92] 0.717: took 7.435 ms
[  93] 0.725: took 7.507 ms
[  94] 0.732: took 7.490 ms
[  95] 0.740: took 7.512 ms
[  96] 0.747: took 7.562 ms
[  97] 0.755: took 7.537 ms
[  98] 0.763: took 7.602 ms
[  99] 0.770: took 7.399 ms
[ 100] 0.778: took 7.483 ms
[ 101] 0.785: took 7.461 ms
[ 102] 0.793: took 7.555 ms
[ 103] 0.800: took 7.479 ms
[ 104] 0.808: took 7.564 ms
[ 105] 0.816: took 7.445 ms
[ 106] 0.823: took 8.051 ms
[ 107] 0.831: took 7.568 ms
[ 108] 0.839: took 7.565 ms
[ 109] 0.846: took 7.548 ms
[ 110] 0.854: took 7.479 ms
[ 111] 0.862: took 7.594 ms
[ 112] 0.869: took 7.507 ms
[ 113] 0.877: took 7.526 ms
[ 114] 0.884: took 7.489 ms
[ 115] 0.892: took 7.407 ms
[ 116] 0.899: took 7.391 ms
[ 117] 0.907: took 7.450 ms
[ 118] 0.914: took 7.550 ms
[ 119] 0.922: took 7.500 ms
[ 120] 0.930: took 7.580 ms
[ 121] 0.937: took 7.481 ms
[ 122] 0.945: took 7.438 ms
[ 123] 0.952: took 7.432 ms
[ 124] 0.960: took 7.485 ms
[ 125] 0.967: took 7.394 ms
[ 126] 0.975: took 7.537 ms
[ 127] 0.982: took 7.446 ms
[ 128] 0.990: took 7.447 ms
[ 129] 0.997: took 7.526 ms
[ 130] 1.005: took 7.469 ms
[ 131] 1.012: took 7.470 ms
[ 132] 1.020: took 7.382 ms
[ 133] 1.027: took 7.541 ms
[ 134] 1.035: took 7.403 ms
[ 135] 1.043: took 7.561 ms
[ 136] 1.050: took 7.470 ms
[ 137] 1.058: took 7.528 ms
[ 138] 1.065: took 7.670 ms
[ 139] 1.073: took 7.466 ms
[ 140] 1.081: took 7.582 ms
[ 141] 1.088: took 7.530 ms
[ 142] 1.096: took 7.462 ms
[ 143] 1.103: took 7.498 ms
[ 144] 1.111: took 7.601 ms
[ 145] 1.119: took 7.528 ms
[ 146] 1.126: took 7.498 ms
[ 147] 1.134: took 7.428 ms
[ 148] 1.141: took 7.420 ms
[ 149] 1.149: took 7.568 ms
[ 150] 1.156: took 7.490 ms
[ 151] 1.164: took 7.501 ms
[ 152] 1.171: took 7.590 ms
[ 153] 1.179: took 7.521 ms
[ 154] 1.187: took 7.487 ms
[ 155] 1.194: took 7.500 ms
[ 156] 1.202: took 7.532 ms
[ 157] 1.209: took 7.498 ms
[ 158] 1.217: took 7.544 ms
[ 159] 1.225: took 7.597 ms
[ 160] 1.232: took 7.463 ms
[ 161] 1.240: took 7.436 ms
[ 162] 1.247: took 7.523 ms
[ 163] 1.255: took 7.547 ms
[ 164] 1.262: took 7.541 ms
[ 165] 1.270: took 7.549 ms
