2019-01-15 17:53:43.264337: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:53:43.264446: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[ 159] 2.582: took 16.068 ms
[ 160] 2.598: took 16.041 ms
[ 161] 2.614: took 16.043 ms
[ 162] 2.630: took 16.079 ms
[ 163] 2.646: took 16.076 ms
[ 164] 2.662: took 15.948 ms
[ 165] 2.678: took 16.130 ms
[ 166] 2.695: took 15.971 ms
[ 167] 2.711: took 15.936 ms
[ 168] 2.727: took 15.938 ms
[ 169] 2.743: took 15.970 ms
[ 170] 2.759: took 15.789 ms
[ 171] 2.774: took 16.418 ms
[ 172] 2.791: took 15.883 ms
[ 173] 2.807: took 15.966 ms
[ 174] 2.823: took 16.003 ms
[ 175] 2.839: took 15.938 ms
[ 176] 2.855: took 15.880 ms
[ 177] 2.871: took 15.923 ms
[ 178] 2.887: took 16.007 ms
[ 179] 2.903: took 16.458 ms
[ 180] 2.919: took 15.965 ms
[ 181] 2.935: took 15.938 ms
[ 182] 2.951: took 15.913 ms
[ 183] 2.967: took 16.232 ms
[ 184] 2.984: took 16.052 ms
[ 185] 3.000: took 16.184 ms
[ 186] 3.016: took 16.010 ms
[ 187] 3.032: took 16.091 ms
[ 188] 3.048: took 16.060 ms
[ 189] 3.064: took 16.016 ms
[ 190] 3.080: took 16.050 ms
[ 191] 3.097: took 16.051 ms
[ 192] 3.113: took 15.935 ms
[ 193] 3.129: took 15.941 ms
[ 194] 3.145: took 15.964 ms
[ 195] 3.161: took 15.894 ms
[ 196] 3.177: took 16.127 ms
[ 197] 3.193: took 15.938 ms
[ 198] 3.209: took 15.825 ms
[ 199] 3.225: took 15.968 ms
[ 200] 3.241: took 15.861 ms
[ 201] 3.257: took 15.952 ms
[ 202] 3.273: took 15.925 ms
[ 203] 3.289: took 15.927 ms
[ 204] 3.305: took 15.962 ms
[ 205] 3.321: took 16.024 ms
[ 206] 3.337: took 15.885 ms
[ 207] 3.353: took 15.956 ms
[ 208] 3.369: took 15.901 ms
[ 209] 3.385: took 16.007 ms
[ 210] 3.401: took 16.057 ms
[ 211] 3.417: took 15.950 ms
[ 212] 3.433: took 15.976 ms
[ 213] 3.449: took 16.149 ms
[ 214] 3.465: took 16.196 ms
[ 215] 3.481: took 16.233 ms
[ 216] 3.498: took 16.061 ms
[ 217] 3.514: took 16.243 ms
[ 218] 3.530: took 16.109 ms
[ 219] 3.546: took 16.144 ms
[ 220] 3.562: took 16.098 ms
[ 221] 3.579: took 16.114 ms
[ 222] 3.595: took 16.017 ms
[ 223] 3.611: took 16.179 ms
[ 224] 3.627: took 15.991 ms
[ 225] 3.643: took 16.000 ms
[ 226] 3.659: took 16.082 ms
[ 227] 3.675: took 16.100 ms
[ 228] 3.691: took 15.971 ms
[ 229] 3.708: took 16.096 ms
[ 230] 3.724: took 15.984 ms
[ 231] 3.740: took 15.978 ms
[ 232] 3.756: took 16.118 ms
[ 233] 3.772: took 16.071 ms
[ 234] 3.788: took 15.933 ms
[ 235] 3.804: took 16.116 ms
[ 236] 3.820: took 15.997 ms
[ 237] 3.836: took 16.018 ms
[ 238] 3.852: took 15.928 ms
[ 239] 3.868: took 15.968 ms
[ 240] 3.884: took 16.016 ms
[ 241] 3.900: took 16.076 ms
[ 242] 3.917: took 15.968 ms
[ 243] 3.933: took 16.093 ms
[ 244] 3.949: took 16.022 ms
[ 245] 3.965: took 16.021 ms
[ 246] 3.981: took 15.990 ms
[ 247] 3.997: took 16.266 ms
[ 248] 4.013: took 16.078 ms
[ 249] 4.029: took 15.994 ms
[ 250] 4.045: took 15.952 ms
[ 251] 4.061: took 16.160 ms
[ 252] 4.078: took 16.110 ms
[ 253] 4.094: took 15.979 ms
[ 254] 4.110: took 15.971 ms
[ 255] 4.126: took 16.011 ms
[ 256] 4.142: took 15.981 ms
[ 257] 4.158: took 15.976 ms
[ 258] 4.174: took 15.990 ms
[ 259] 4.190: took 16.037 ms
[ 260] 4.206: took 15.950 ms
[ 261] 4.222: took 16.078 ms
[ 262] 4.238: took 15.978 ms
[ 263] 4.254: took 15.965 ms
[ 264] 4.270: took 15.838 ms
[ 265] 4.286: took 16.098 ms
[ 266] 4.302: took 15.995 ms
[ 267] 4.319: took 16.229 ms
[ 268] 4.335: took 15.967 ms
[ 269] 4.351: took 16.046 ms
[ 270] 4.367: took 15.988 ms
[ 271] 4.383: took 15.992 ms
[ 272] 4.399: took 15.963 ms
[ 273] 4.415: took 16.007 ms
[ 274] 4.431: took 15.955 ms
[ 275] 4.447: took 16.029 ms
[ 276] 4.463: took 15.944 ms
[ 277] 4.479: took 16.031 ms
[ 278] 4.495: took 16.155 ms
[ 279] 4.512: took 16.106 ms
[ 280] 4.528: took 16.119 ms
[ 281] 4.544: took 15.950 ms
[ 282] 4.560: took 16.429 ms
[ 283] 4.576: took 16.107 ms
[ 284] 4.593: took 16.156 ms
[ 285] 4.609: took 15.926 ms
[ 286] 4.625: took 15.944 ms
[ 287] 4.641: took 16.030 ms
[ 288] 4.657: took 15.939 ms
[ 289] 4.673: took 15.949 ms
[ 290] 4.689: took 15.885 ms
