2019-01-15 17:56:33.220476: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:56:33.220589: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.005: took 23.793 ms
[   1] 0.029: took 8.850 ms
[   2] 0.038: took 8.558 ms
[   3] 0.046: took 8.544 ms
[   4] 0.055: took 8.385 ms
[   5] 0.064: took 8.453 ms
[   6] 0.072: took 8.421 ms
[   7] 0.081: took 8.381 ms
[   8] 0.089: took 8.354 ms
[   9] 0.097: took 8.441 ms
[  10] 0.106: took 8.536 ms
[  11] 0.114: took 8.450 ms
[  12] 0.123: took 8.500 ms
[  13] 0.132: took 8.392 ms
[  14] 0.140: took 8.496 ms
[  15] 0.149: took 8.430 ms
[  16] 0.157: took 8.315 ms
[  17] 0.165: took 8.393 ms
[  18] 0.174: took 8.507 ms
[  19] 0.182: took 8.968 ms
[  20] 0.192: took 8.475 ms
[  21] 0.200: took 8.478 ms
[  22] 0.209: took 8.438 ms
[  23] 0.217: took 8.470 ms
[  24] 0.226: took 8.396 ms
[  25] 0.234: took 8.518 ms
[  26] 0.243: took 8.472 ms
[  27] 0.251: took 8.514 ms
[  28] 0.260: took 8.430 ms
[  29] 0.268: took 8.450 ms
[  30] 0.277: took 8.365 ms
[  31] 0.285: took 8.508 ms
[  32] 0.294: took 8.419 ms
[  33] 0.302: took 8.427 ms
[  34] 0.311: took 8.737 ms
[  35] 0.320: took 8.508 ms
[  36] 0.328: took 8.457 ms
[  37] 0.337: took 8.466 ms
[  38] 0.345: took 8.437 ms
[  39] 0.354: took 8.419 ms
[  40] 0.362: took 8.455 ms
[  41] 0.371: took 8.540 ms
[  42] 0.379: took 8.564 ms
[  43] 0.388: took 8.478 ms
[  44] 0.396: took 8.470 ms
[  45] 0.405: took 8.309 ms
[  46] 0.413: took 8.448 ms
[  47] 0.422: took 8.451 ms
[  48] 0.430: took 8.498 ms
[  49] 0.439: took 8.468 ms
[  50] 0.447: took 8.497 ms
[  51] 0.456: took 8.412 ms
[  52] 0.464: took 8.487 ms
[  53] 0.473: took 8.376 ms
[  54] 0.481: took 8.445 ms
[  55] 0.490: took 8.446 ms
[  56] 0.498: took 8.417 ms
[  57] 0.507: took 8.531 ms
[  58] 0.516: took 8.509 ms
[  59] 0.524: took 8.411 ms
[  60] 0.533: took 8.418 ms
[  61] 0.541: took 8.482 ms
[  62] 0.550: took 8.465 ms
[  63] 0.558: took 8.400 ms
[  64] 0.567: took 8.530 ms
[  65] 0.575: took 8.461 ms
[  66] 0.584: took 8.478 ms
[  67] 0.592: took 8.470 ms
[  68] 0.601: took 8.437 ms
[  69] 0.609: took 8.501 ms
[  70] 0.618: took 8.447 ms
[  71] 0.626: took 8.499 ms
[  72] 0.635: took 8.429 ms
[  73] 0.643: took 8.530 ms
[  74] 0.652: took 8.460 ms
[  75] 0.661: took 8.415 ms
[  76] 0.669: took 8.490 ms
[  77] 0.678: took 8.516 ms
[  78] 0.686: took 8.589 ms
[  79] 0.695: took 8.508 ms
[  80] 0.703: took 8.472 ms
[  81] 0.712: took 8.483 ms
[  82] 0.720: took 8.395 ms
[  83] 0.729: took 8.407 ms
[  84] 0.737: took 8.412 ms
[  85] 0.746: took 8.467 ms
[  86] 0.754: took 8.473 ms
[  87] 0.763: took 8.436 ms
[  88] 0.771: took 8.437 ms
[  89] 0.780: took 8.479 ms
[  90] 0.788: took 8.514 ms
[  91] 0.797: took 8.481 ms
[  92] 0.806: took 8.411 ms
[  93] 0.814: took 8.456 ms
[  94] 0.823: took 8.559 ms
[  95] 0.831: took 8.407 ms
[  96] 0.840: took 8.613 ms
[  97] 0.848: took 8.505 ms
[  98] 0.857: took 8.370 ms
[  99] 0.865: took 8.438 ms
[ 100] 0.874: took 8.463 ms
[ 101] 0.882: took 8.486 ms
[ 102] 0.891: took 8.496 ms
[ 103] 0.899: took 8.451 ms
[ 104] 0.908: took 8.451 ms
[ 105] 0.916: took 8.457 ms
[ 106] 0.925: took 8.401 ms
[ 107] 0.933: took 8.481 ms
[ 108] 0.942: took 8.463 ms
[ 109] 0.950: took 8.647 ms
[ 110] 0.959: took 8.444 ms
[ 111] 0.968: took 8.434 ms
[ 112] 0.976: took 8.447 ms
[ 113] 0.985: took 8.472 ms
[ 114] 0.993: took 8.482 ms
[ 115] 1.002: took 8.498 ms
[ 116] 1.010: took 8.399 ms
[ 117] 1.019: took 8.472 ms
[ 118] 1.027: took 8.375 ms
[ 119] 1.036: took 8.499 ms
[ 120] 1.044: took 8.494 ms
[ 121] 1.053: took 8.527 ms
[ 122] 1.061: took 8.600 ms
[ 123] 1.070: took 8.565 ms
[ 124] 1.079: took 8.543 ms
[ 125] 1.087: took 8.473 ms
[ 126] 1.096: took 8.565 ms
[ 127] 1.104: took 8.480 ms
[ 128] 1.113: took 8.468 ms
[ 129] 1.122: took 8.423 ms
[ 130] 1.130: took 8.434 ms
[ 131] 1.139: took 8.540 ms
[ 132] 1.147: took 8.400 ms
[ 133] 1.156: took 8.440 ms
[ 134] 1.164: took 8.444 ms
[ 135] 1.173: took 8.413 ms
[ 136] 1.181: took 8.480 ms
[ 137] 1.190: took 8.486 ms
[ 138] 1.198: took 8.523 ms
[ 139] 1.207: took 8.484 ms
[ 140] 1.215: took 8.461 ms
[ 141] 1.224: took 8.473 ms
[ 142] 1.232: took 8.493 ms
[ 143] 1.241: took 8.446 ms
[ 144] 1.249: took 8.574 ms
[ 145] 1.258: took 8.437 ms
[ 146] 1.267: took 8.380 ms
[ 147] 1.275: took 8.412 ms
[ 148] 1.284: took 8.536 ms
[ 149] 1.292: took 8.362 ms
[ 150] 1.301: took 8.370 ms
[ 151] 1.309: took 8.373 ms
[ 152] 1.317: took 8.406 ms
[ 153] 1.326: took 8.479 ms
[ 154] 1.334: took 8.424 ms
[ 155] 1.343: took 8.553 ms
[ 156] 1.351: took 8.564 ms
[ 157] 1.360: took 8.381 ms
[ 158] 1.369: took 8.408 ms
[ 159] 1.377: took 8.412 ms
[ 160] 1.385: took 8.464 ms
[ 161] 1.394: took 8.411 ms
[ 162] 1.402: took 8.426 ms
[ 163] 1.411: took 8.476 ms
[ 164] 1.420: took 8.477 ms
[ 165] 1.428: took 8.422 ms
