2019-01-15 17:10:12.305000: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:10:12.305132: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[ 159] 3.200: took 19.142 ms
[ 160] 3.220: took 19.115 ms
[ 161] 3.240: took 19.482 ms
[ 162] 3.260: took 19.084 ms
[ 163] 3.280: took 18.845 ms
[ 164] 3.300: took 19.112 ms
[ 165] 3.320: took 19.300 ms
[ 166] 3.340: took 19.074 ms
[ 167] 3.360: took 19.074 ms
[ 168] 3.380: took 19.029 ms
[ 169] 3.400: took 19.164 ms
[ 170] 3.420: took 19.000 ms
[ 171] 3.440: took 19.108 ms
[ 172] 3.460: took 19.074 ms
[ 173] 3.480: took 19.198 ms
[ 174] 3.500: took 19.227 ms
[ 175] 3.520: took 19.187 ms
[ 176] 3.540: took 18.970 ms
[ 177] 3.560: took 19.014 ms
[ 178] 3.580: took 19.262 ms
[ 179] 3.600: took 19.168 ms
[ 180] 3.620: took 19.247 ms
[ 181] 3.640: took 19.416 ms
[ 182] 3.660: took 19.053 ms
[ 183] 3.680: took 19.074 ms
[ 184] 3.700: took 19.063 ms
[ 185] 3.720: took 19.099 ms
[ 186] 3.740: took 19.058 ms
[ 187] 3.760: took 19.191 ms
[ 188] 3.780: took 19.268 ms
[ 189] 3.800: took 19.232 ms
[ 190] 3.820: took 19.129 ms
[ 191] 3.840: took 19.333 ms
[ 192] 3.860: took 19.291 ms
[ 193] 3.880: took 19.265 ms
[ 194] 3.900: took 19.036 ms
[ 195] 3.920: took 19.182 ms
[ 196] 3.940: took 19.141 ms
[ 197] 3.960: took 19.257 ms
[ 198] 3.980: took 18.404 ms
[ 199] 4.000: took 19.241 ms
[ 200] 4.020: took 18.918 ms
[ 201] 4.040: took 18.875 ms
[ 202] 4.060: took 19.022 ms
[ 203] 4.080: took 19.113 ms
[ 204] 4.100: took 19.099 ms
[ 205] 4.120: took 18.944 ms
[ 206] 4.140: took 19.059 ms
[ 207] 4.160: took 19.320 ms
[ 208] 4.180: took 19.118 ms
[ 209] 4.200: took 19.973 ms
[ 210] 4.220: took 19.073 ms
[ 211] 4.240: took 19.062 ms
[ 212] 4.260: took 19.157 ms
[ 213] 4.280: took 19.106 ms
[ 214] 4.300: took 18.975 ms
[ 215] 4.320: took 19.077 ms
[ 216] 4.340: took 19.325 ms
[ 217] 4.360: took 19.189 ms
[ 218] 4.380: took 18.905 ms
[ 219] 4.400: took 19.218 ms
[ 220] 4.420: took 19.008 ms
[ 221] 4.440: took 19.376 ms
[ 222] 4.460: took 18.880 ms
[ 223] 4.480: took 19.203 ms
[ 224] 4.500: took 19.065 ms
[ 225] 4.520: took 19.028 ms
[ 226] 4.540: took 18.870 ms
[ 227] 4.560: took 19.398 ms
[ 228] 4.580: took 18.842 ms
[ 229] 4.600: took 19.001 ms
[ 230] 4.620: took 19.020 ms
[ 231] 4.640: took 19.437 ms
[ 232] 4.660: took 19.503 ms
[ 233] 4.680: took 19.251 ms
[ 234] 4.700: took 19.269 ms
[ 235] 4.720: took 19.245 ms
[ 236] 4.740: took 18.978 ms
[ 237] 4.760: took 19.087 ms
[ 238] 4.780: took 19.112 ms
[ 239] 4.800: took 19.246 ms
[ 240] 4.820: took 19.002 ms
[ 241] 4.840: took 19.090 ms
[ 242] 4.860: took 18.953 ms
[ 243] 4.880: took 19.037 ms
[ 244] 4.900: took 19.055 ms
[ 245] 4.920: took 19.023 ms
[ 246] 4.940: took 19.009 ms
[ 247] 4.960: took 19.082 ms
[ 248] 4.980: took 18.965 ms
[ 249] 5.000: took 19.183 ms
[ 250] 5.020: took 19.244 ms
[ 251] 5.040: took 18.930 ms
[ 252] 5.060: took 19.240 ms
[ 253] 5.080: took 19.334 ms
[ 254] 5.100: took 19.258 ms
[ 255] 5.120: took 18.553 ms
[ 256] 5.140: took 19.167 ms
[ 257] 5.160: took 19.158 ms
[ 258] 5.180: took 19.082 ms
[ 259] 5.200: took 19.028 ms
[ 260] 5.220: took 19.073 ms
[ 261] 5.240: took 19.272 ms
[ 262] 5.260: took 19.153 ms
[ 263] 5.280: took 19.049 ms
[ 264] 5.300: took 18.974 ms
[ 265] 5.320: took 18.987 ms
[ 266] 5.340: took 19.132 ms
[ 267] 5.360: took 19.556 ms
[ 268] 5.380: took 19.066 ms
[ 269] 5.400: took 19.237 ms
[ 270] 5.420: took 19.020 ms
[ 271] 5.440: took 19.182 ms
[ 272] 5.460: took 18.832 ms
