2019-01-15 17:16:52.154469: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:16:52.154581: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.020: took 26.142 ms
[   1] 0.046: took 11.091 ms
[   2] 0.060: took 10.557 ms
[   3] 0.080: took 10.588 ms
[   4] 0.100: took 10.605 ms
[   5] 0.120: took 10.688 ms
[   6] 0.140: took 10.709 ms
[   7] 0.160: took 11.173 ms
[   8] 0.180: took 10.807 ms
[   9] 0.200: took 10.881 ms
[  10] 0.220: took 11.029 ms
[  11] 0.240: took 11.063 ms
[  12] 0.260: took 11.098 ms
[  13] 0.280: took 10.562 ms
[  14] 0.300: took 10.743 ms
[  15] 0.320: took 10.678 ms
[  16] 0.340: took 10.712 ms
[  17] 0.360: took 10.799 ms
[  18] 0.380: took 10.414 ms
[  19] 0.400: took 10.464 ms
[  20] 0.420: took 10.600 ms
[  21] 0.440: took 10.679 ms
[  22] 0.460: took 10.750 ms
[  23] 0.480: took 10.728 ms
[  24] 0.500: took 10.484 ms
[  25] 0.520: took 10.670 ms
[  26] 0.540: took 10.466 ms
[  27] 0.560: took 10.678 ms
[  28] 0.580: took 10.431 ms
[  29] 0.600: took 10.469 ms
[  30] 0.620: took 10.429 ms
[  31] 0.640: took 10.448 ms
[  32] 0.660: took 10.565 ms
[  33] 0.680: took 10.520 ms
[  34] 0.700: took 10.456 ms
[  35] 0.720: took 10.729 ms
[  36] 0.740: took 10.635 ms
[  37] 0.760: took 10.523 ms
[  38] 0.780: took 10.545 ms
[  39] 0.800: took 10.780 ms
[  40] 0.820: took 10.616 ms
[  41] 0.840: took 10.418 ms
[  42] 0.860: took 10.484 ms
[  43] 0.880: took 10.635 ms
[  44] 0.900: took 10.735 ms
[  45] 0.920: took 10.736 ms
[  46] 0.940: took 10.466 ms
[  47] 0.960: took 10.708 ms
[  48] 0.980: took 10.506 ms
[  49] 1.000: took 10.578 ms
[  50] 1.020: took 10.606 ms
[  51] 1.040: took 10.649 ms
[  52] 1.060: took 10.665 ms
[  53] 1.080: took 10.552 ms
[  54] 1.100: took 10.472 ms
[  55] 1.120: took 10.709 ms
[  56] 1.140: took 10.568 ms
[  57] 1.160: took 10.865 ms
[  58] 1.180: took 10.490 ms
[  59] 1.200: took 10.674 ms
[  60] 1.220: took 10.544 ms
[  61] 1.240: took 10.527 ms
[  62] 1.260: took 10.610 ms
[  63] 1.280: took 10.732 ms
[  64] 1.300: took 10.460 ms
[  65] 1.320: took 10.637 ms
[  66] 1.340: took 10.570 ms
[  67] 1.360: took 10.650 ms
[  68] 1.380: took 10.435 ms
[  69] 1.400: took 10.691 ms
[  70] 1.420: took 10.617 ms
[  71] 1.440: took 10.514 ms
[  72] 1.460: took 10.672 ms
[  73] 1.480: took 10.519 ms
[  74] 1.500: took 10.842 ms
[  75] 1.520: took 10.961 ms
[  76] 1.540: took 10.937 ms
[  77] 1.560: took 10.913 ms
[  78] 1.580: took 10.471 ms
[  79] 1.600: took 11.175 ms
[  80] 1.620: took 10.690 ms
[  81] 1.640: took 10.873 ms
[  82] 1.660: took 11.129 ms
[  83] 1.680: took 10.677 ms
[  84] 1.700: took 10.843 ms
[  85] 1.720: took 10.524 ms
[  86] 1.740: took 10.693 ms
[  87] 1.760: took 10.745 ms
[  88] 1.780: took 10.519 ms
[  89] 1.800: took 10.770 ms
[  90] 1.820: took 10.661 ms
[  91] 1.840: took 10.575 ms
[  92] 1.860: took 10.718 ms
[  93] 1.880: took 10.733 ms
[  94] 1.900: took 10.723 ms
[  95] 1.920: took 10.771 ms
[  96] 1.940: took 10.758 ms
[  97] 1.960: took 10.687 ms
[  98] 1.980: took 10.546 ms
[  99] 2.000: took 10.817 ms
[ 100] 2.020: took 10.663 ms
[ 101] 2.040: took 10.534 ms
[ 102] 2.060: took 10.939 ms
[ 103] 2.080: took 10.638 ms
[ 104] 2.100: took 10.697 ms
[ 105] 2.120: took 10.638 ms
[ 106] 2.140: took 11.198 ms
[ 107] 2.160: took 11.094 ms
[ 108] 2.180: took 10.509 ms
[ 109] 2.200: took 10.512 ms
[ 110] 2.220: took 10.697 ms
[ 111] 2.240: took 10.686 ms
[ 112] 2.260: took 10.969 ms
[ 113] 2.280: took 10.872 ms
[ 114] 2.300: took 10.840 ms
[ 115] 2.320: took 10.849 ms
[ 116] 2.340: took 10.678 ms
[ 117] 2.360: took 10.822 ms
[ 118] 2.380: took 10.696 ms
[ 119] 2.400: took 10.788 ms
[ 120] 2.420: took 11.038 ms
[ 121] 2.440: took 10.586 ms
[ 122] 2.460: took 10.741 ms
[ 123] 2.480: took 10.739 ms
[ 124] 2.500: took 10.687 ms
[ 125] 2.520: took 10.792 ms
[ 126] 2.540: took 11.055 ms
[ 127] 2.560: took 11.079 ms
[ 128] 2.580: took 10.863 ms
[ 129] 2.600: took 10.792 ms
[ 130] 2.620: took 10.693 ms
[ 131] 2.640: took 11.068 ms
[ 132] 2.660: took 10.974 ms
[ 133] 2.680: took 10.982 ms
[ 134] 2.700: took 10.902 ms
[ 135] 2.720: took 11.033 ms
[ 136] 2.740: took 10.974 ms
[ 137] 2.760: took 10.951 ms
[ 138] 2.780: took 10.919 ms
[ 139] 2.800: took 10.640 ms
[ 140] 2.820: took 10.906 ms
[ 141] 2.840: took 10.449 ms
[ 142] 2.860: took 10.971 ms
[ 143] 2.880: took 10.843 ms
[ 144] 2.900: took 10.888 ms
[ 145] 2.920: took 10.839 ms
[ 146] 2.940: took 10.651 ms
[ 147] 2.960: took 10.974 ms
[ 148] 2.980: took 10.916 ms
[ 149] 3.000: took 10.752 ms
[ 150] 3.020: took 11.119 ms
[ 151] 3.040: took 10.560 ms
[ 152] 3.060: took 10.882 ms
[ 153] 3.080: took 10.963 ms
[ 154] 3.100: took 10.877 ms
[ 155] 3.120: took 10.849 ms
[ 156] 3.140: took 10.651 ms
[ 157] 3.160: took 10.801 ms
[ 158] 3.180: took 11.111 ms
[ 159] 3.200: took 10.629 ms
[ 160] 3.220: took 10.904 ms
[ 161] 3.240: took 10.944 ms
[ 162] 3.260: took 11.056 ms
[ 163] 3.280: took 10.736 ms
[ 164] 3.300: took 10.724 ms
[ 165] 3.320: took 10.710 ms
