2019-01-15 17:15:24.160308: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:15:24.160417: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.020: took 31.252 ms
[   1] 0.051: took 16.190 ms
[   2] 0.068: took 16.004 ms
[   3] 0.084: took 15.993 ms
[   4] 0.100: took 16.120 ms
[   5] 0.120: took 16.111 ms
[   6] 0.140: took 16.099 ms
[   7] 0.160: took 16.176 ms
[   8] 0.180: took 16.104 ms
[   9] 0.200: took 16.639 ms
[  10] 0.220: took 16.074 ms
[  11] 0.240: took 16.143 ms
[  12] 0.260: took 16.207 ms
[  13] 0.280: took 16.345 ms
[  14] 0.300: took 16.128 ms
[  15] 0.320: took 16.400 ms
[  16] 0.340: took 16.232 ms
[  17] 0.360: took 16.327 ms
[  18] 0.380: took 16.585 ms
[  19] 0.400: took 16.233 ms
[  20] 0.420: took 16.167 ms
[  21] 0.440: took 16.317 ms
[  22] 0.460: took 16.485 ms
[  23] 0.480: took 16.539 ms
[  24] 0.500: took 16.188 ms
[  25] 0.520: took 16.255 ms
[  26] 0.540: took 16.175 ms
[  27] 0.560: took 16.237 ms
[  28] 0.580: took 16.210 ms
[  29] 0.600: took 16.208 ms
[  30] 0.620: took 16.279 ms
[  31] 0.640: took 16.873 ms
[  32] 0.660: took 16.304 ms
[  33] 0.680: took 16.281 ms
[  34] 0.700: took 16.203 ms
[  35] 0.720: took 16.248 ms
[  36] 0.740: took 16.312 ms
[  37] 0.760: took 16.269 ms
[  38] 0.780: took 16.272 ms
[  39] 0.800: took 16.232 ms
[  40] 0.820: took 16.225 ms
[  41] 0.840: took 16.284 ms
[  42] 0.860: took 16.473 ms
[  43] 0.880: took 16.157 ms
[  44] 0.900: took 15.987 ms
[  45] 0.920: took 16.194 ms
[  46] 0.940: took 16.066 ms
[  47] 0.960: took 16.542 ms
[  48] 0.980: took 16.107 ms
[  49] 1.000: took 16.644 ms
[  50] 1.020: took 16.234 ms
[  51] 1.040: took 16.191 ms
[  52] 1.060: took 16.300 ms
[  53] 1.080: took 16.190 ms
[  54] 1.100: took 16.093 ms
[  55] 1.120: took 16.169 ms
[  56] 1.140: took 16.248 ms
[  57] 1.160: took 16.192 ms
[  58] 1.180: took 16.352 ms
[  59] 1.200: took 16.154 ms
[  60] 1.220: took 16.113 ms
[  61] 1.240: took 16.199 ms
[  62] 1.260: took 16.407 ms
[  63] 1.280: took 16.116 ms
[  64] 1.300: took 16.015 ms
[  65] 1.320: took 16.247 ms
[  66] 1.340: took 16.059 ms
[  67] 1.360: took 16.083 ms
[  68] 1.380: took 16.060 ms
[  69] 1.400: took 16.340 ms
[  70] 1.420: took 16.011 ms
[  71] 1.440: took 16.123 ms
[  72] 1.460: took 16.065 ms
[  73] 1.480: took 16.077 ms
[  74] 1.500: took 15.944 ms
[  75] 1.520: took 16.854 ms
[  76] 1.540: took 15.980 ms
[  77] 1.560: took 16.377 ms
[  78] 1.580: took 16.060 ms
[  79] 1.600: took 16.218 ms
[  80] 1.620: took 16.091 ms
[  81] 1.640: took 16.118 ms
[  82] 1.660: took 16.151 ms
[  83] 1.680: took 16.469 ms
[  84] 1.700: took 16.036 ms
[  85] 1.720: took 16.188 ms
[  86] 1.740: took 16.078 ms
[  87] 1.760: took 16.077 ms
[  88] 1.780: took 16.083 ms
[  89] 1.800: took 16.130 ms
[  90] 1.820: took 16.191 ms
[  91] 1.840: took 16.317 ms
[  92] 1.860: took 16.303 ms
[  93] 1.880: took 16.221 ms
[  94] 1.900: took 16.050 ms
[  95] 1.920: took 16.132 ms
[  96] 1.940: took 16.026 ms
[  97] 1.960: took 16.104 ms
[  98] 1.980: took 16.059 ms
[  99] 2.000: took 16.074 ms
[ 100] 2.020: took 16.006 ms
[ 101] 2.040: took 16.067 ms
[ 102] 2.060: took 16.336 ms
[ 103] 2.080: took 16.112 ms
[ 104] 2.100: took 15.947 ms
[ 105] 2.120: took 16.088 ms
[ 106] 2.140: took 16.228 ms
[ 107] 2.160: took 16.286 ms
[ 108] 2.180: took 16.122 ms
[ 109] 2.200: took 16.209 ms
[ 110] 2.220: took 16.159 ms
[ 111] 2.240: took 16.327 ms
[ 112] 2.260: took 16.187 ms
[ 113] 2.280: took 16.489 ms
[ 114] 2.300: took 16.235 ms
[ 115] 2.320: took 16.292 ms
[ 116] 2.340: took 16.346 ms
[ 117] 2.360: took 16.402 ms
[ 118] 2.380: took 16.295 ms
[ 119] 2.400: took 16.204 ms
[ 120] 2.420: took 16.147 ms
[ 121] 2.440: took 16.442 ms
[ 122] 2.460: took 16.225 ms
[ 123] 2.480: took 16.221 ms
[ 124] 2.500: took 16.068 ms
[ 125] 2.520: took 16.211 ms
[ 126] 2.540: took 16.236 ms
[ 127] 2.560: took 16.410 ms
[ 128] 2.580: took 16.346 ms
[ 129] 2.600: took 16.144 ms
[ 130] 2.620: took 16.107 ms
[ 131] 2.640: took 16.177 ms
[ 132] 2.660: took 16.182 ms
[ 133] 2.680: took 16.203 ms
[ 134] 2.700: took 16.130 ms
[ 135] 2.720: took 16.333 ms
[ 136] 2.740: took 16.083 ms
[ 137] 2.760: took 16.142 ms
[ 138] 2.780: took 16.199 ms
[ 139] 2.800: took 16.428 ms
[ 140] 2.820: took 16.281 ms
[ 141] 2.840: took 16.283 ms
[ 142] 2.860: took 16.311 ms
[ 143] 2.880: took 16.460 ms
[ 144] 2.900: took 16.076 ms
[ 145] 2.920: took 16.245 ms
[ 146] 2.940: took 16.135 ms
[ 147] 2.960: took 16.383 ms
[ 148] 2.980: took 16.194 ms
[ 149] 3.000: took 16.104 ms
[ 150] 3.020: took 15.996 ms
[ 151] 3.040: took 16.197 ms
[ 152] 3.060: took 16.395 ms
[ 153] 3.080: took 16.288 ms
[ 154] 3.100: took 16.135 ms
[ 155] 3.120: took 16.427 ms
[ 156] 3.140: took 16.135 ms
[ 157] 3.160: took 16.306 ms
[ 158] 3.180: took 16.146 ms
[ 159] 3.200: took 16.178 ms
[ 160] 3.220: took 16.178 ms
[ 161] 3.240: took 16.185 ms
[ 162] 3.260: took 16.147 ms
[ 163] 3.280: took 16.478 ms
[ 164] 3.300: took 16.092 ms
[ 165] 3.320: took 16.210 ms
