2019-01-15 17:12:48.970986: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:12:48.971119: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.020: took 27.880 ms
[   1] 0.048: took 9.544 ms
[   2] 0.060: took 9.521 ms
[   3] 0.080: took 9.272 ms
[   4] 0.100: took 9.214 ms
[   5] 0.120: took 10.049 ms
[   6] 0.140: took 10.113 ms
[   7] 0.160: took 9.774 ms
[   8] 0.180: took 9.822 ms
[   9] 0.200: took 9.775 ms
[  10] 0.220: took 9.903 ms
[  11] 0.240: took 9.841 ms
[  12] 0.260: took 9.899 ms
[  13] 0.280: took 9.906 ms
[  14] 0.300: took 9.856 ms
[  15] 0.320: took 9.771 ms
[  16] 0.340: took 9.931 ms
[  17] 0.360: took 9.908 ms
[  18] 0.380: took 10.049 ms
[  19] 0.400: took 9.936 ms
[  20] 0.420: took 9.676 ms
[  21] 0.440: took 9.127 ms
[  22] 0.460: took 9.802 ms
[  23] 0.480: took 9.922 ms
[  24] 0.500: took 9.902 ms
[  25] 0.520: took 9.838 ms
[  26] 0.540: took 9.944 ms
[  27] 0.560: took 9.795 ms
[  28] 0.580: took 9.824 ms
[  29] 0.600: took 9.756 ms
[  30] 0.620: took 9.696 ms
[  31] 0.640: took 9.870 ms
[  32] 0.660: took 9.860 ms
[  33] 0.680: took 10.084 ms
[  34] 0.700: took 10.032 ms
[  35] 0.720: took 9.933 ms
[  36] 0.740: took 10.017 ms
[  37] 0.760: took 9.619 ms
[  38] 0.780: took 9.360 ms
[  39] 0.800: took 9.783 ms
[  40] 0.820: took 9.720 ms
[  41] 0.840: took 9.874 ms
[  42] 0.860: took 9.823 ms
[  43] 0.880: took 9.782 ms
[  44] 0.900: took 10.016 ms
[  45] 0.920: took 9.679 ms
[  46] 0.940: took 9.957 ms
[  47] 0.960: took 9.768 ms
[  48] 0.980: took 9.828 ms
[  49] 1.000: took 9.747 ms
[  50] 1.020: took 9.883 ms
[  51] 1.040: took 9.818 ms
[  52] 1.060: took 10.002 ms
[  53] 1.080: took 10.032 ms
[  54] 1.100: took 9.990 ms
[  55] 1.120: took 9.210 ms
[  56] 1.140: took 9.956 ms
[  57] 1.160: took 9.848 ms
[  58] 1.180: took 9.947 ms
[  59] 1.200: took 9.770 ms
[  60] 1.220: took 9.778 ms
[  61] 1.240: took 9.748 ms
[  62] 1.260: took 9.844 ms
[  63] 1.280: took 9.846 ms
[  64] 1.300: took 9.763 ms
[  65] 1.320: took 9.936 ms
[  66] 1.340: took 9.937 ms
[  67] 1.360: took 9.881 ms
[  68] 1.380: took 9.831 ms
[  69] 1.400: took 9.904 ms
[  70] 1.420: took 9.937 ms
[  71] 1.440: took 9.675 ms
[  72] 1.460: took 9.445 ms
[  73] 1.480: took 9.420 ms
[  74] 1.500: took 9.886 ms
[  75] 1.520: took 9.806 ms
[  76] 1.540: took 9.784 ms
[  77] 1.560: took 9.719 ms
[  78] 1.580: took 9.831 ms
[  79] 1.600: took 9.777 ms
[  80] 1.620: took 9.990 ms
[  81] 1.640: took 9.774 ms
[  82] 1.660: took 9.827 ms
[  83] 1.680: took 9.840 ms
[  84] 1.700: took 9.892 ms
[  85] 1.720: took 9.836 ms
[  86] 1.740: took 9.950 ms
[  87] 1.760: took 9.875 ms
[  88] 1.780: took 9.926 ms
[  89] 1.800: took 9.703 ms
[  90] 1.820: took 9.479 ms
[  91] 1.840: took 9.726 ms
[  92] 1.860: took 9.834 ms
[  93] 1.880: took 9.768 ms
[  94] 1.900: took 9.704 ms
[  95] 1.920: took 9.771 ms
[  96] 1.940: took 9.808 ms
[  97] 1.960: took 9.979 ms
[  98] 1.980: took 9.931 ms
[  99] 2.000: took 9.835 ms
[ 100] 2.020: took 9.723 ms
[ 101] 2.040: took 9.759 ms
[ 102] 2.060: took 9.783 ms
[ 103] 2.080: took 9.890 ms
[ 104] 2.100: took 9.993 ms
[ 105] 2.120: took 10.039 ms
[ 106] 2.140: took 9.904 ms
[ 107] 2.160: took 9.619 ms
[ 108] 2.180: took 9.775 ms
[ 109] 2.200: took 9.871 ms
[ 110] 2.220: took 9.867 ms
[ 111] 2.240: took 9.785 ms
[ 112] 2.260: took 9.659 ms
[ 113] 2.280: took 9.849 ms
[ 114] 2.300: took 9.723 ms
[ 115] 2.320: took 9.734 ms
[ 116] 2.340: took 9.790 ms
[ 117] 2.360: took 9.799 ms
[ 118] 2.380: took 9.825 ms
[ 119] 2.400: took 9.931 ms
[ 120] 2.420: took 9.952 ms
[ 121] 2.440: took 9.860 ms
[ 122] 2.460: took 9.937 ms
[ 123] 2.480: took 9.977 ms
[ 124] 2.500: took 9.310 ms
[ 125] 2.520: took 9.511 ms
[ 126] 2.540: took 9.755 ms
[ 127] 2.560: took 9.609 ms
[ 128] 2.580: took 9.755 ms
[ 129] 2.600: took 9.924 ms
[ 130] 2.620: took 9.915 ms
[ 131] 2.640: took 9.730 ms
[ 132] 2.660: took 9.711 ms
[ 133] 2.680: took 9.731 ms
[ 134] 2.700: took 9.644 ms
[ 135] 2.720: took 9.866 ms
[ 136] 2.740: took 9.798 ms
[ 137] 2.760: took 9.843 ms
[ 138] 2.780: took 9.682 ms
[ 139] 2.800: took 9.824 ms
[ 140] 2.820: took 10.082 ms
[ 141] 2.840: took 9.887 ms
[ 142] 2.860: took 9.750 ms
[ 143] 2.880: took 9.854 ms
[ 144] 2.900: took 9.849 ms
[ 145] 2.920: took 9.925 ms
[ 146] 2.940: took 9.875 ms
[ 147] 2.960: took 9.795 ms
[ 148] 2.980: took 9.929 ms
[ 149] 3.000: took 9.850 ms
[ 150] 3.020: took 9.761 ms
[ 151] 3.040: took 9.673 ms
[ 152] 3.060: took 9.789 ms
[ 153] 3.080: took 9.932 ms
[ 154] 3.100: took 9.714 ms
[ 155] 3.120: took 9.921 ms
[ 156] 3.140: took 9.979 ms
[ 157] 3.160: took 9.715 ms
[ 158] 3.180: took 9.890 ms
[ 159] 3.200: took 9.862 ms
[ 160] 3.220: took 9.933 ms
[ 161] 3.240: took 9.915 ms
[ 162] 3.260: took 9.948 ms
[ 163] 3.280: took 9.932 ms
[ 164] 3.300: took 9.900 ms
[ 165] 3.320: took 9.807 ms
