2019-01-15 17:18:15.825083: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:18:15.825198: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.020: took 23.974 ms
[   1] 0.044: took 9.106 ms
[   2] 0.060: took 8.698 ms
[   3] 0.080: took 9.190 ms
[   4] 0.100: took 8.696 ms
[   5] 0.120: took 8.865 ms
[   6] 0.140: took 10.147 ms
[   7] 0.160: took 10.130 ms
[   8] 0.180: took 9.329 ms
[   9] 0.200: took 8.688 ms
[  10] 0.220: took 8.742 ms
[  11] 0.240: took 8.695 ms
[  12] 0.260: took 8.747 ms
[  13] 0.280: took 8.809 ms
[  14] 0.300: took 8.678 ms
[  15] 0.320: took 8.594 ms
[  16] 0.340: took 8.552 ms
[  17] 0.360: took 8.653 ms
[  18] 0.380: took 8.784 ms
[  19] 0.400: took 8.778 ms
[  20] 0.420: took 8.660 ms
[  21] 0.440: took 8.595 ms
[  22] 0.460: took 8.524 ms
[  23] 0.480: took 8.687 ms
[  24] 0.500: took 8.594 ms
[  25] 0.520: took 8.498 ms
[  26] 0.540: took 8.535 ms
[  27] 0.560: took 8.639 ms
[  28] 0.580: took 8.643 ms
[  29] 0.600: took 8.738 ms
[  30] 0.620: took 8.685 ms
[  31] 0.640: took 8.731 ms
[  32] 0.660: took 8.551 ms
[  33] 0.680: took 8.556 ms
[  34] 0.700: took 8.474 ms
[  35] 0.720: took 8.645 ms
[  36] 0.740: took 9.159 ms
[  37] 0.760: took 8.743 ms
[  38] 0.780: took 8.675 ms
[  39] 0.800: took 8.620 ms
[  40] 0.820: took 8.680 ms
[  41] 0.840: took 8.633 ms
[  42] 0.860: took 8.681 ms
[  43] 0.880: took 8.710 ms
[  44] 0.900: took 8.567 ms
[  45] 0.920: took 8.596 ms
[  46] 0.940: took 8.562 ms
[  47] 0.960: took 8.675 ms
[  48] 0.980: took 8.740 ms
[  49] 1.000: took 8.652 ms
[  50] 1.020: took 8.563 ms
[  51] 1.040: took 8.651 ms
[  52] 1.060: took 8.724 ms
[  53] 1.080: took 8.636 ms
[  54] 1.100: took 8.590 ms
[  55] 1.120: took 8.602 ms
[  56] 1.140: took 8.572 ms
[  57] 1.160: took 8.560 ms
[  58] 1.180: took 8.779 ms
[  59] 1.200: took 8.627 ms
[  60] 1.220: took 8.729 ms
[  61] 1.240: took 9.532 ms
[  62] 1.260: took 8.615 ms
[  63] 1.280: took 8.650 ms
[  64] 1.300: took 8.674 ms
[  65] 1.320: took 8.664 ms
[  66] 1.340: took 8.610 ms
[  67] 1.360: took 8.704 ms
[  68] 1.380: took 8.688 ms
[  69] 1.400: took 8.719 ms
[  70] 1.420: took 8.621 ms
[  71] 1.440: took 8.660 ms
[  72] 1.460: took 8.627 ms
[  73] 1.480: took 8.660 ms
[  74] 1.500: took 8.711 ms
[  75] 1.520: took 8.693 ms
[  76] 1.540: took 8.705 ms
[  77] 1.560: took 8.619 ms
[  78] 1.580: took 8.686 ms
[  79] 1.600: took 8.697 ms
[  80] 1.620: took 8.584 ms
[  81] 1.640: took 9.388 ms
[  82] 1.660: took 8.844 ms
[  83] 1.680: took 8.661 ms
[  84] 1.700: took 8.660 ms
[  85] 1.720: took 8.761 ms
[  86] 1.740: took 8.691 ms
[  87] 1.760: took 8.741 ms
[  88] 1.780: took 8.639 ms
[  89] 1.800: took 8.834 ms
[  90] 1.820: took 8.690 ms
[  91] 1.840: took 8.582 ms
[  92] 1.860: took 8.622 ms
[  93] 1.880: took 8.808 ms
[  94] 1.900: took 8.776 ms
[  95] 1.920: took 8.607 ms
[  96] 1.940: took 8.616 ms
[  97] 1.960: took 8.637 ms
[  98] 1.980: took 8.706 ms
[  99] 2.000: took 8.708 ms
[ 100] 2.020: took 8.637 ms
[ 101] 2.040: took 9.319 ms
[ 102] 2.060: took 8.748 ms
[ 103] 2.080: took 9.437 ms
[ 104] 2.100: took 8.713 ms
[ 105] 2.120: took 8.591 ms
[ 106] 2.140: took 8.615 ms
[ 107] 2.160: took 8.686 ms
[ 108] 2.180: took 8.722 ms
[ 109] 2.200: took 8.666 ms
[ 110] 2.220: took 8.629 ms
[ 111] 2.240: took 8.631 ms
[ 112] 2.260: took 8.702 ms
[ 113] 2.280: took 8.847 ms
[ 114] 2.300: took 8.751 ms
[ 115] 2.320: took 8.771 ms
[ 116] 2.340: took 8.710 ms
[ 117] 2.360: took 8.621 ms
[ 118] 2.380: took 8.640 ms
[ 119] 2.400: took 8.742 ms
[ 120] 2.420: took 8.661 ms
[ 121] 2.440: took 8.633 ms
[ 122] 2.460: took 8.648 ms
[ 123] 2.480: took 8.815 ms
[ 124] 2.500: took 8.629 ms
[ 125] 2.520: took 8.600 ms
[ 126] 2.540: took 8.585 ms
[ 127] 2.560: took 8.638 ms
[ 128] 2.580: took 8.650 ms
[ 129] 2.600: took 8.733 ms
[ 130] 2.620: took 8.676 ms
[ 131] 2.640: took 8.640 ms
[ 132] 2.660: took 8.635 ms
[ 133] 2.680: took 8.663 ms
[ 134] 2.700: took 8.696 ms
[ 135] 2.720: took 8.778 ms
[ 136] 2.740: took 8.607 ms
[ 137] 2.760: took 8.725 ms
[ 138] 2.780: took 8.720 ms
[ 139] 2.800: took 8.646 ms
[ 140] 2.820: took 8.599 ms
[ 141] 2.840: took 8.739 ms
[ 142] 2.860: took 8.657 ms
[ 143] 2.880: took 9.575 ms
[ 144] 2.900: took 9.943 ms
[ 145] 2.920: took 8.637 ms
[ 146] 2.940: took 9.003 ms
[ 147] 2.960: took 8.729 ms
[ 148] 2.980: took 9.620 ms
[ 149] 3.000: took 8.651 ms
[ 150] 3.020: took 8.645 ms
[ 151] 3.040: took 8.742 ms
[ 152] 3.060: took 8.629 ms
[ 153] 3.080: took 8.777 ms
[ 154] 3.100: took 8.827 ms
[ 155] 3.120: took 8.632 ms
[ 156] 3.140: took 8.619 ms
[ 157] 3.160: took 8.637 ms
[ 158] 3.180: took 8.819 ms
[ 159] 3.200: took 8.774 ms
[ 160] 3.220: took 8.678 ms
[ 161] 3.240: took 8.761 ms
[ 162] 3.260: took 8.752 ms
[ 163] 3.280: took 8.703 ms
[ 164] 3.300: took 8.788 ms
[ 165] 3.320: took 10.141 ms
