2019-01-15 17:30:59.355829: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:30:59.355993: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.040: took 28.142 ms
[   1] 0.080: took 9.999 ms
[   2] 0.120: took 10.374 ms
[   3] 0.160: took 9.958 ms
[   4] 0.200: took 9.969 ms
[   5] 0.240: took 9.862 ms
[   6] 0.280: took 10.060 ms
[   7] 0.320: took 9.935 ms
[   8] 0.360: took 10.060 ms
[   9] 0.400: took 9.925 ms
[  10] 0.440: took 9.992 ms
[  11] 0.480: took 9.935 ms
[  12] 0.520: took 9.962 ms
[  13] 0.560: took 9.765 ms
[  14] 0.600: took 9.917 ms
[  15] 0.640: took 10.000 ms
[  16] 0.680: took 9.852 ms
[  17] 0.720: took 9.879 ms
[  18] 0.760: took 9.949 ms
[  19] 0.800: took 9.806 ms
[  20] 0.840: took 9.841 ms
[  21] 0.880: took 9.975 ms
[  22] 0.920: took 10.190 ms
[  23] 0.960: took 9.932 ms
[  24] 1.000: took 9.954 ms
[  25] 1.040: took 9.979 ms
[  26] 1.080: took 9.942 ms
[  27] 1.120: took 9.872 ms
[  28] 1.160: took 9.922 ms
[  29] 1.200: took 10.011 ms
[  30] 1.240: took 9.864 ms
[  31] 1.280: took 9.992 ms
[  32] 1.320: took 9.858 ms
[  33] 1.360: took 9.874 ms
[  34] 1.400: took 9.790 ms
[  35] 1.440: took 9.832 ms
[  36] 1.480: took 10.085 ms
[  37] 1.520: took 9.636 ms
[  38] 1.560: took 9.782 ms
[  39] 1.600: took 9.897 ms
[  40] 1.640: took 9.865 ms
[  41] 1.680: took 9.722 ms
[  42] 1.720: took 9.849 ms
[  43] 1.760: took 10.111 ms
[  44] 1.800: took 9.916 ms
[  45] 1.840: took 9.895 ms
[  46] 1.880: took 9.772 ms
[  47] 1.920: took 9.949 ms
[  48] 1.960: took 9.945 ms
[  49] 2.000: took 9.835 ms
[  50] 2.040: took 10.053 ms
[  51] 2.080: took 9.428 ms
[  52] 2.120: took 9.880 ms
[  53] 2.160: took 9.939 ms
[  54] 2.200: took 9.863 ms
[  55] 2.240: took 9.760 ms
[  56] 2.280: took 9.877 ms
[  57] 2.320: took 9.967 ms
[  58] 2.360: took 9.449 ms
[  59] 2.400: took 9.829 ms
[  60] 2.440: took 10.062 ms
[  61] 2.480: took 9.877 ms
[  62] 2.520: took 9.905 ms
[  63] 2.560: took 9.694 ms
[  64] 2.600: took 9.913 ms
[  65] 2.640: took 10.000 ms
[  66] 2.680: took 9.834 ms
[  67] 2.720: took 9.833 ms
[  68] 2.760: took 9.778 ms
[  69] 2.800: took 9.790 ms
[  70] 2.840: took 9.881 ms
[  71] 2.880: took 9.982 ms
[  72] 2.920: took 9.719 ms
[  73] 2.960: took 9.803 ms
[  74] 3.000: took 9.825 ms
[  75] 3.040: took 9.800 ms
[  76] 3.080: took 9.997 ms
[  77] 3.120: took 9.845 ms
[  78] 3.160: took 10.088 ms
[  79] 3.200: took 9.173 ms
[  80] 3.240: took 9.872 ms
[  81] 3.280: took 9.873 ms
[  82] 3.320: took 9.761 ms
[  83] 3.360: took 9.746 ms
[  84] 3.400: took 9.838 ms
[  85] 3.440: took 10.013 ms
[  86] 3.480: took 9.247 ms
[  87] 3.520: took 9.762 ms
[  88] 3.560: took 9.863 ms
[  89] 3.600: took 9.806 ms
[  90] 3.640: took 9.886 ms
[  91] 3.680: took 9.844 ms
[  92] 3.720: took 9.963 ms
[  93] 3.760: took 9.868 ms
[  94] 3.800: took 9.797 ms
[  95] 3.840: took 9.971 ms
[  96] 3.880: took 9.888 ms
[  97] 3.920: took 9.736 ms
[  98] 3.960: took 9.799 ms
[  99] 4.000: took 10.220 ms
[ 100] 4.040: took 9.968 ms
[ 101] 4.080: took 9.957 ms
[ 102] 4.120: took 9.946 ms
[ 103] 4.160: took 9.761 ms
[ 104] 4.200: took 9.868 ms
[ 105] 4.240: took 9.801 ms
[ 106] 4.280: took 9.974 ms
[ 107] 4.320: took 9.980 ms
[ 108] 4.360: took 9.936 ms
[ 109] 4.400: took 9.831 ms
[ 110] 4.440: took 9.810 ms
[ 111] 4.480: took 9.795 ms
[ 112] 4.520: took 9.739 ms
[ 113] 4.560: took 9.923 ms
[ 114] 4.600: took 10.045 ms
[ 115] 4.640: took 9.827 ms
[ 116] 4.680: took 9.755 ms
[ 117] 4.720: took 9.955 ms
[ 118] 4.760: took 9.848 ms
[ 119] 4.800: took 9.936 ms
[ 120] 4.840: took 9.993 ms
[ 121] 4.880: took 9.660 ms
[ 122] 4.920: took 9.848 ms
[ 123] 4.960: took 9.971 ms
[ 124] 5.000: took 9.840 ms
[ 125] 5.040: took 10.166 ms
[ 126] 5.080: took 9.823 ms
[ 127] 5.120: took 10.110 ms
[ 128] 5.160: took 9.462 ms
[ 129] 5.200: took 9.939 ms
[ 130] 5.240: took 9.991 ms
[ 131] 5.280: took 9.865 ms
[ 132] 5.320: took 9.916 ms
[ 133] 5.360: took 9.865 ms
[ 134] 5.400: took 10.044 ms
[ 135] 5.440: took 9.613 ms
[ 136] 5.480: took 9.944 ms
[ 137] 5.520: took 9.812 ms
[ 138] 5.560: took 9.755 ms
[ 139] 5.600: took 9.921 ms
[ 140] 5.640: took 9.819 ms
[ 141] 5.680: took 10.105 ms
[ 142] 5.720: took 9.883 ms
[ 143] 5.760: took 10.048 ms
[ 144] 5.800: took 9.863 ms
[ 145] 5.840: took 9.899 ms
[ 146] 5.880: took 9.831 ms
[ 147] 5.920: took 9.941 ms
[ 148] 5.960: took 9.943 ms
[ 149] 6.000: took 9.731 ms
[ 150] 6.040: took 9.991 ms
[ 151] 6.080: took 9.895 ms
[ 152] 6.120: took 9.814 ms
[ 153] 6.160: took 9.928 ms
[ 154] 6.200: took 10.032 ms
[ 155] 6.240: took 10.047 ms
[ 156] 6.280: took 9.753 ms
[ 157] 6.320: took 9.977 ms
[ 158] 6.360: took 9.877 ms
[ 159] 6.400: took 9.845 ms
[ 160] 6.440: took 9.922 ms
[ 161] 6.480: took 9.831 ms
[ 162] 6.520: took 10.014 ms
[ 163] 6.560: took 9.609 ms
[ 164] 6.600: took 9.767 ms
[ 165] 6.640: took 9.929 ms
