2019-01-15 17:33:35.904531: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:33:35.904642: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.040: took 31.360 ms
[   1] 0.080: took 16.442 ms
[   2] 0.120: took 16.674 ms
[   3] 0.160: took 16.517 ms
[   4] 0.200: took 16.393 ms
[   5] 0.240: took 16.356 ms
[   6] 0.280: took 16.448 ms
[   7] 0.320: took 16.298 ms
[   8] 0.360: took 16.118 ms
[   9] 0.400: took 16.230 ms
[  10] 0.440: took 16.338 ms
[  11] 0.480: took 16.356 ms
[  12] 0.520: took 16.244 ms
[  13] 0.560: took 16.319 ms
[  14] 0.600: took 16.440 ms
[  15] 0.640: took 16.137 ms
[  16] 0.680: took 16.166 ms
[  17] 0.720: took 16.673 ms
[  18] 0.760: took 16.106 ms
[  19] 0.800: took 16.319 ms
[  20] 0.840: took 16.154 ms
[  21] 0.880: took 16.212 ms
[  22] 0.920: took 16.305 ms
[  23] 0.960: took 16.671 ms
[  24] 1.000: took 16.256 ms
[  25] 1.040: took 16.420 ms
[  26] 1.080: took 16.295 ms
[  27] 1.120: took 16.328 ms
[  28] 1.160: took 17.312 ms
[  29] 1.200: took 16.458 ms
[  30] 1.240: took 16.418 ms
[  31] 1.280: took 16.492 ms
[  32] 1.320: took 16.281 ms
[  33] 1.360: took 16.202 ms
[  34] 1.400: took 16.405 ms
[  35] 1.440: took 16.314 ms
[  36] 1.480: took 16.277 ms
[  37] 1.520: took 16.551 ms
[  38] 1.560: took 16.314 ms
[  39] 1.600: took 16.475 ms
[  40] 1.640: took 16.295 ms
[  41] 1.680: took 16.418 ms
[  42] 1.720: took 16.275 ms
[  43] 1.760: took 16.272 ms
[  44] 1.800: took 16.427 ms
[  45] 1.840: took 16.262 ms
[  46] 1.880: took 16.444 ms
[  47] 1.920: took 16.428 ms
[  48] 1.960: took 16.440 ms
[  49] 2.000: took 16.277 ms
[  50] 2.040: took 16.187 ms
[  51] 2.080: took 16.222 ms
[  52] 2.120: took 16.378 ms
[  53] 2.160: took 16.488 ms
[  54] 2.200: took 16.291 ms
[  55] 2.240: took 16.442 ms
[  56] 2.280: took 16.583 ms
[  57] 2.320: took 16.491 ms
[  58] 2.360: took 16.266 ms
[  59] 2.400: took 16.380 ms
[  60] 2.440: took 16.157 ms
[  61] 2.480: took 16.199 ms
[  62] 2.520: took 16.249 ms
[  63] 2.560: took 16.390 ms
[  64] 2.600: took 16.196 ms
[  65] 2.640: took 16.184 ms
[  66] 2.680: took 16.225 ms
[  67] 2.720: took 16.382 ms
[  68] 2.760: took 16.407 ms
[  69] 2.800: took 16.231 ms
[  70] 2.840: took 16.150 ms
[  71] 2.880: took 16.304 ms
[  72] 2.920: took 16.324 ms
[  73] 2.960: took 16.406 ms
[  74] 3.000: took 16.242 ms
[  75] 3.040: took 16.553 ms
[  76] 3.080: took 16.221 ms
[  77] 3.120: took 16.338 ms
[  78] 3.160: took 16.178 ms
[  79] 3.200: took 16.333 ms
[  80] 3.240: took 16.325 ms
[  81] 3.280: took 16.360 ms
[  82] 3.320: took 16.287 ms
[  83] 3.360: took 16.292 ms
[  84] 3.400: took 16.215 ms
[  85] 3.440: took 16.456 ms
[  86] 3.480: took 16.203 ms
[  87] 3.520: took 16.397 ms
[  88] 3.560: took 16.297 ms
[  89] 3.600: took 16.505 ms
[  90] 3.640: took 16.404 ms
[  91] 3.680: took 16.287 ms
[  92] 3.720: took 16.305 ms
[  93] 3.760: took 16.311 ms
[  94] 3.800: took 16.382 ms
[  95] 3.840: took 16.300 ms
[  96] 3.880: took 16.401 ms
[  97] 3.920: took 16.348 ms
[  98] 3.960: took 16.293 ms
[  99] 4.000: took 16.373 ms
[ 100] 4.040: took 16.431 ms
[ 101] 4.080: took 16.276 ms
[ 102] 4.120: took 16.275 ms
[ 103] 4.160: took 16.257 ms
[ 104] 4.200: took 16.232 ms
[ 105] 4.240: took 16.529 ms
[ 106] 4.280: took 16.354 ms
[ 107] 4.320: took 16.477 ms
[ 108] 4.360: took 16.249 ms
[ 109] 4.400: took 16.427 ms
[ 110] 4.440: took 16.186 ms
[ 111] 4.480: took 16.445 ms
[ 112] 4.520: took 16.304 ms
[ 113] 4.560: took 16.361 ms
[ 114] 4.600: took 16.269 ms
[ 115] 4.640: took 16.242 ms
[ 116] 4.680: took 16.113 ms
[ 117] 4.720: took 16.361 ms
[ 118] 4.760: took 16.117 ms
[ 119] 4.800: took 16.242 ms
[ 120] 4.840: took 16.387 ms
[ 121] 4.880: took 16.222 ms
[ 122] 4.920: took 16.328 ms
[ 123] 4.960: took 16.315 ms
[ 124] 5.000: took 16.211 ms
[ 125] 5.040: took 16.447 ms
[ 126] 5.080: took 16.374 ms
[ 127] 5.120: took 16.424 ms
[ 128] 5.160: took 16.281 ms
[ 129] 5.200: took 16.414 ms
[ 130] 5.240: took 16.324 ms
[ 131] 5.280: took 16.269 ms
[ 132] 5.320: took 16.817 ms
[ 133] 5.360: took 16.306 ms
[ 134] 5.400: took 16.417 ms
[ 135] 5.440: took 16.358 ms
[ 136] 5.480: took 16.352 ms
[ 137] 5.520: took 16.395 ms
[ 138] 5.560: took 16.201 ms
[ 139] 5.600: took 16.298 ms
[ 140] 5.640: took 16.242 ms
[ 141] 5.680: took 16.231 ms
[ 142] 5.720: took 16.275 ms
[ 143] 5.760: took 16.465 ms
[ 144] 5.800: took 16.376 ms
[ 145] 5.840: took 16.513 ms
[ 146] 5.880: took 16.210 ms
[ 147] 5.920: took 16.384 ms
[ 148] 5.960: took 16.433 ms
[ 149] 6.000: took 16.456 ms
[ 150] 6.040: took 16.339 ms
[ 151] 6.080: took 16.440 ms
[ 152] 6.120: took 16.260 ms
[ 153] 6.160: took 16.263 ms
[ 154] 6.200: took 16.175 ms
[ 155] 6.240: took 16.445 ms
[ 156] 6.280: took 16.392 ms
[ 157] 6.320: took 16.381 ms
[ 158] 6.360: took 16.179 ms
[ 159] 6.400: took 16.263 ms
[ 160] 6.440: took 16.146 ms
[ 161] 6.480: took 16.253 ms
[ 162] 6.520: took 16.360 ms
[ 163] 6.560: took 16.407 ms
[ 164] 6.600: took 16.256 ms
[ 165] 6.640: took 16.287 ms
