2019-01-15 17:28:16.342075: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:28:16.342205: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.040: took 40.364 ms
[   1] 0.081: took 19.564 ms
[   2] 0.120: took 19.351 ms
[   3] 0.160: took 19.202 ms
[   4] 0.200: took 19.191 ms
[   5] 0.240: took 19.270 ms
[   6] 0.280: took 18.987 ms
[   7] 0.320: took 19.077 ms
[   8] 0.360: took 19.038 ms
[   9] 0.400: took 19.079 ms
[  10] 0.440: took 18.876 ms
[  11] 0.480: took 19.089 ms
[  12] 0.520: took 19.246 ms
[  13] 0.560: took 19.041 ms
[  14] 0.600: took 19.215 ms
[  15] 0.640: took 19.094 ms
[  16] 0.680: took 19.000 ms
[  17] 0.720: took 19.139 ms
[  18] 0.760: took 19.072 ms
[  19] 0.800: took 19.393 ms
[  20] 0.840: took 18.818 ms
[  21] 0.880: took 18.989 ms
[  22] 0.920: took 19.152 ms
[  23] 0.960: took 19.052 ms
[  24] 1.000: took 18.992 ms
[  25] 1.040: took 19.078 ms
[  26] 1.080: took 18.989 ms
[  27] 1.120: took 19.274 ms
[  28] 1.160: took 18.953 ms
[  29] 1.200: took 18.884 ms
[  30] 1.240: took 19.073 ms
[  31] 1.280: took 19.151 ms
[  32] 1.320: took 19.009 ms
[  33] 1.360: took 19.215 ms
[  34] 1.400: took 18.963 ms
[  35] 1.440: took 18.959 ms
[  36] 1.480: took 19.166 ms
[  37] 1.520: took 19.085 ms
[  38] 1.560: took 18.919 ms
[  39] 1.600: took 19.153 ms
[  40] 1.640: took 18.813 ms
[  41] 1.680: took 19.158 ms
[  42] 1.720: took 19.094 ms
[  43] 1.760: took 19.155 ms
[  44] 1.800: took 19.073 ms
[  45] 1.840: took 19.014 ms
[  46] 1.880: took 19.110 ms
[  47] 1.920: took 19.253 ms
[  48] 1.960: took 18.949 ms
[  49] 2.000: took 19.052 ms
[  50] 2.040: took 19.091 ms
[  51] 2.080: took 19.314 ms
[  52] 2.120: took 18.890 ms
[  53] 2.160: took 18.990 ms
[  54] 2.200: took 19.115 ms
[  55] 2.240: took 19.024 ms
[  56] 2.280: took 19.000 ms
[  57] 2.320: took 19.249 ms
[  58] 2.360: took 19.203 ms
[  59] 2.400: took 19.185 ms
[  60] 2.440: took 18.986 ms
[  61] 2.480: took 18.950 ms
[  62] 2.520: took 19.087 ms
[  63] 2.560: took 19.058 ms
[  64] 2.600: took 18.684 ms
[  65] 2.640: took 19.155 ms
[  66] 2.680: took 18.914 ms
[  67] 2.720: took 19.885 ms
[  68] 2.760: took 18.939 ms
[  69] 2.800: took 19.176 ms
[  70] 2.840: took 19.105 ms
[  71] 2.880: took 18.933 ms
[  72] 2.920: took 18.931 ms
[  73] 2.960: took 19.516 ms
[  74] 3.000: took 19.053 ms
[  75] 3.040: took 19.274 ms
[  76] 3.080: took 18.863 ms
[  77] 3.120: took 19.255 ms
[  78] 3.160: took 18.895 ms
[  79] 3.200: took 19.103 ms
[  80] 3.240: took 18.936 ms
[  81] 3.280: took 19.269 ms
[  82] 3.320: took 19.136 ms
[  83] 3.360: took 18.976 ms
[  84] 3.400: took 18.925 ms
[  85] 3.440: took 19.106 ms
[  86] 3.480: took 18.912 ms
[  87] 3.520: took 19.329 ms
[  88] 3.560: took 18.849 ms
[  89] 3.600: took 19.030 ms
[  90] 3.640: took 19.234 ms
[  91] 3.680: took 19.188 ms
[  92] 3.720: took 19.101 ms
[  93] 3.760: took 19.207 ms
[  94] 3.800: took 18.831 ms
[  95] 3.840: took 19.050 ms
[  96] 3.880: took 18.926 ms
[  97] 3.920: took 19.058 ms
[  98] 3.960: took 18.916 ms
[  99] 4.000: took 19.217 ms
[ 100] 4.040: took 19.122 ms
[ 101] 4.080: took 19.256 ms
[ 102] 4.120: took 19.104 ms
[ 103] 4.160: took 19.087 ms
[ 104] 4.200: took 19.010 ms
[ 105] 4.240: took 19.263 ms
[ 106] 4.280: took 18.770 ms
[ 107] 4.320: took 19.221 ms
[ 108] 4.360: took 18.979 ms
[ 109] 4.400: took 18.932 ms
[ 110] 4.440: took 19.172 ms
[ 111] 4.480: took 19.377 ms
[ 112] 4.520: took 18.865 ms
[ 113] 4.560: took 19.128 ms
[ 114] 4.600: took 18.777 ms
[ 115] 4.640: took 18.991 ms
[ 116] 4.680: took 19.552 ms
[ 117] 4.720: took 19.281 ms
[ 118] 4.760: took 19.231 ms
[ 119] 4.800: took 19.342 ms
[ 120] 4.840: took 19.143 ms
[ 121] 4.880: took 19.171 ms
[ 122] 4.920: took 19.135 ms
[ 123] 4.960: took 19.178 ms
[ 124] 5.000: took 19.111 ms
[ 125] 5.040: took 19.136 ms
[ 126] 5.080: took 19.206 ms
[ 127] 5.120: took 18.772 ms
[ 128] 5.160: took 19.103 ms
[ 129] 5.200: took 19.103 ms
[ 130] 5.240: took 19.139 ms
[ 131] 5.280: took 19.015 ms
[ 132] 5.320: took 19.022 ms
[ 133] 5.360: took 19.002 ms
[ 134] 5.400: took 19.287 ms
[ 135] 5.440: took 19.144 ms
[ 136] 5.480: took 19.014 ms
[ 137] 5.520: took 19.089 ms
[ 138] 5.560: took 18.905 ms
[ 139] 5.600: took 19.176 ms
[ 140] 5.640: took 19.045 ms
[ 141] 5.680: took 19.279 ms
[ 142] 5.720: took 19.065 ms
[ 143] 5.760: took 19.100 ms
[ 144] 5.800: took 18.877 ms
[ 145] 5.840: took 19.100 ms
[ 146] 5.880: took 19.008 ms
[ 147] 5.920: took 19.183 ms
[ 148] 5.960: took 19.130 ms
[ 149] 6.000: took 18.976 ms
[ 150] 6.040: took 18.998 ms
[ 151] 6.080: took 19.154 ms
[ 152] 6.120: took 18.985 ms
[ 153] 6.160: took 19.287 ms
[ 154] 6.200: took 18.927 ms
[ 155] 6.240: took 19.116 ms
[ 156] 6.280: took 19.138 ms
[ 157] 6.320: took 19.117 ms
[ 158] 6.360: took 18.920 ms
[ 159] 6.400: took 19.064 ms
[ 160] 6.440: took 18.977 ms
[ 161] 6.480: took 19.242 ms
[ 162] 6.520: took 19.977 ms
[ 163] 6.560: took 19.160 ms
[ 164] 6.600: took 18.901 ms
[ 165] 6.640: took 19.182 ms
