2019-01-15 17:32:15.872380: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:32:15.872538: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.040: took 30.330 ms
[   1] 0.080: took 9.258 ms
[   2] 0.120: took 8.748 ms
[   3] 0.160: took 8.573 ms
[   4] 0.200: took 8.780 ms
[   5] 0.240: took 8.915 ms
[   6] 0.280: took 8.448 ms
[   7] 0.320: took 8.467 ms
[   8] 0.360: took 8.558 ms
[   9] 0.400: took 8.501 ms
[  10] 0.440: took 8.516 ms
[  11] 0.480: took 8.408 ms
[  12] 0.520: took 8.639 ms
[  13] 0.560: took 8.616 ms
[  14] 0.600: took 8.411 ms
[  15] 0.640: took 8.427 ms
[  16] 0.680: took 8.496 ms
[  17] 0.720: took 8.466 ms
[  18] 0.760: took 8.488 ms
[  19] 0.800: took 8.628 ms
[  20] 0.840: took 8.173 ms
[  21] 0.880: took 8.419 ms
[  22] 0.920: took 8.469 ms
[  23] 0.960: took 8.488 ms
[  24] 1.000: took 8.525 ms
[  25] 1.040: took 8.485 ms
[  26] 1.080: took 8.547 ms
[  27] 1.120: took 7.965 ms
[  28] 1.160: took 8.589 ms
[  29] 1.200: took 8.540 ms
[  30] 1.240: took 8.487 ms
[  31] 1.280: took 8.486 ms
[  32] 1.320: took 8.446 ms
[  33] 1.360: took 8.526 ms
[  34] 1.400: took 8.102 ms
[  35] 1.440: took 8.488 ms
[  36] 1.480: took 8.833 ms
[  37] 1.520: took 8.510 ms
[  38] 1.560: took 8.512 ms
[  39] 1.600: took 8.626 ms
[  40] 1.640: took 8.577 ms
[  41] 1.680: took 8.609 ms
[  42] 1.720: took 8.529 ms
[  43] 1.760: took 8.528 ms
[  44] 1.800: took 8.468 ms
[  45] 1.840: took 8.584 ms
[  46] 1.880: took 8.567 ms
[  47] 1.920: took 8.517 ms
[  48] 1.960: took 8.494 ms
[  49] 2.000: took 8.387 ms
[  50] 2.040: took 8.559 ms
[  51] 2.080: took 8.392 ms
[  52] 2.120: took 8.443 ms
[  53] 2.160: took 8.486 ms
[  54] 2.200: took 8.395 ms
[  55] 2.240: took 8.484 ms
[  56] 2.280: took 8.589 ms
[  57] 2.320: took 8.498 ms
[  58] 2.360: took 8.563 ms
[  59] 2.400: took 8.462 ms
[  60] 2.440: took 8.473 ms
[  61] 2.480: took 8.435 ms
[  62] 2.520: took 8.665 ms
[  63] 2.560: took 8.477 ms
[  64] 2.600: took 8.578 ms
[  65] 2.640: took 8.442 ms
[  66] 2.680: took 8.574 ms
[  67] 2.720: took 8.518 ms
[  68] 2.760: took 8.586 ms
[  69] 2.800: took 8.529 ms
[  70] 2.840: took 8.528 ms
[  71] 2.880: took 8.437 ms
[  72] 2.920: took 8.483 ms
[  73] 2.960: took 8.436 ms
[  74] 3.000: took 8.413 ms
[  75] 3.040: took 8.612 ms
[  76] 3.080: took 8.467 ms
[  77] 3.120: took 8.523 ms
[  78] 3.160: took 8.541 ms
[  79] 3.200: took 8.436 ms
[  80] 3.240: took 8.420 ms
[  81] 3.280: took 8.467 ms
[  82] 3.320: took 8.398 ms
[  83] 3.360: took 8.506 ms
[  84] 3.400: took 8.509 ms
[  85] 3.440: took 8.442 ms
[  86] 3.480: took 8.468 ms
[  87] 3.520: took 8.523 ms
[  88] 3.560: took 8.434 ms
[  89] 3.600: took 8.142 ms
[  90] 3.640: took 8.511 ms
[  91] 3.680: took 8.489 ms
[  92] 3.720: took 8.485 ms
[  93] 3.760: took 8.549 ms
[  94] 3.800: took 8.515 ms
[  95] 3.840: took 8.477 ms
[  96] 3.880: took 8.242 ms
[  97] 3.920: took 8.403 ms
[  98] 3.960: took 8.410 ms
[  99] 4.000: took 8.498 ms
[ 100] 4.040: took 8.553 ms
[ 101] 4.080: took 8.528 ms
[ 102] 4.120: took 8.571 ms
[ 103] 4.160: took 8.000 ms
[ 104] 4.200: took 8.467 ms
[ 105] 4.240: took 8.526 ms
[ 106] 4.280: took 8.461 ms
[ 107] 4.320: took 8.480 ms
[ 108] 4.360: took 8.498 ms
[ 109] 4.400: took 8.468 ms
[ 110] 4.440: took 8.421 ms
[ 111] 4.480: took 8.504 ms
[ 112] 4.520: took 8.470 ms
[ 113] 4.560: took 8.645 ms
[ 114] 4.600: took 8.400 ms
[ 115] 4.640: took 8.514 ms
[ 116] 4.680: took 8.516 ms
[ 117] 4.720: took 8.612 ms
[ 118] 4.760: took 8.480 ms
[ 119] 4.800: took 8.436 ms
[ 120] 4.840: took 8.558 ms
[ 121] 4.880: took 8.617 ms
[ 122] 4.920: took 8.432 ms
[ 123] 4.960: took 8.425 ms
[ 124] 5.000: took 8.655 ms
[ 125] 5.040: took 8.622 ms
[ 126] 5.080: took 8.528 ms
[ 127] 5.120: took 8.475 ms
[ 128] 5.160: took 8.433 ms
[ 129] 5.200: took 8.514 ms
[ 130] 5.240: took 8.497 ms
[ 131] 5.280: took 8.557 ms
[ 132] 5.320: took 8.456 ms
[ 133] 5.360: took 8.447 ms
[ 134] 5.400: took 8.566 ms
[ 135] 5.440: took 8.411 ms
[ 136] 5.480: took 8.355 ms
[ 137] 5.520: took 8.424 ms
[ 138] 5.560: took 8.458 ms
[ 139] 5.600: took 8.425 ms
[ 140] 5.640: took 8.497 ms
[ 141] 5.680: took 8.354 ms
[ 142] 5.720: took 8.474 ms
[ 143] 5.760: took 8.496 ms
[ 144] 5.800: took 8.463 ms
[ 145] 5.840: took 8.509 ms
[ 146] 5.880: took 8.640 ms
[ 147] 5.920: took 8.490 ms
[ 148] 5.960: took 8.575 ms
[ 149] 6.000: took 8.425 ms
[ 150] 6.040: took 8.398 ms
[ 151] 6.080: took 8.523 ms
[ 152] 6.120: took 8.459 ms
[ 153] 6.160: took 8.630 ms
[ 154] 6.200: took 8.409 ms
[ 155] 6.240: took 8.457 ms
[ 156] 6.280: took 8.317 ms
[ 157] 6.320: took 8.376 ms
[ 158] 6.360: took 8.308 ms
[ 159] 6.400: took 8.395 ms
[ 160] 6.440: took 8.414 ms
[ 161] 6.480: took 8.397 ms
[ 162] 6.520: took 8.438 ms
[ 163] 6.560: took 8.447 ms
[ 164] 6.600: took 8.375 ms
[ 165] 6.640: took 8.449 ms
