2019-01-15 17:29:40.052598: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 17:29:40.052763: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.040: took 34.092 ms
[   1] 0.080: took 13.038 ms
[   2] 0.120: took 12.400 ms
[   3] 0.160: took 11.852 ms
[   4] 0.200: took 11.109 ms
[   5] 0.240: took 11.370 ms
[   6] 0.280: took 11.422 ms
[   7] 0.320: took 12.227 ms
[   8] 0.360: took 12.511 ms
[   9] 0.400: took 12.259 ms
[  10] 0.440: took 11.987 ms
[  11] 0.480: took 12.348 ms
[  12] 0.520: took 12.687 ms
[  13] 0.560: took 12.176 ms
[  14] 0.600: took 12.298 ms
[  15] 0.640: took 12.311 ms
[  16] 0.680: took 12.273 ms
[  17] 0.720: took 12.189 ms
[  18] 0.760: took 12.301 ms
[  19] 0.800: took 12.244 ms
[  20] 0.840: took 12.108 ms
[  21] 0.880: took 11.742 ms
[  22] 0.920: took 12.233 ms
[  23] 0.960: took 12.029 ms
[  24] 1.000: took 12.364 ms
[  25] 1.040: took 12.353 ms
[  26] 1.080: took 12.346 ms
[  27] 1.120: took 12.185 ms
[  28] 1.160: took 12.176 ms
[  29] 1.200: took 11.623 ms
[  30] 1.240: took 12.355 ms
[  31] 1.280: took 12.136 ms
[  32] 1.320: took 12.309 ms
[  33] 1.360: took 12.283 ms
[  34] 1.400: took 12.399 ms
[  35] 1.440: took 12.312 ms
[  36] 1.480: took 11.932 ms
[  37] 1.520: took 12.360 ms
[  38] 1.560: took 12.213 ms
[  39] 1.600: took 12.262 ms
[  40] 1.640: took 12.282 ms
[  41] 1.680: took 12.301 ms
[  42] 1.720: took 12.344 ms
[  43] 1.760: took 11.984 ms
[  44] 1.800: took 11.908 ms
[  45] 1.840: took 12.047 ms
[  46] 1.880: took 12.267 ms
[  47] 1.920: took 12.129 ms
[  48] 1.960: took 12.221 ms
[  49] 2.000: took 12.506 ms
[  50] 2.040: took 12.327 ms
[  51] 2.080: took 11.920 ms
[  52] 2.120: took 12.272 ms
[  53] 2.160: took 12.191 ms
[  54] 2.200: took 12.276 ms
[  55] 2.240: took 12.239 ms
[  56] 2.280: took 12.192 ms
[  57] 2.320: took 12.311 ms
[  58] 2.360: took 12.135 ms
[  59] 2.400: took 11.696 ms
[  60] 2.440: took 12.179 ms
[  61] 2.480: took 12.329 ms
[  62] 2.520: took 12.328 ms
[  63] 2.560: took 12.238 ms
[  64] 2.600: took 12.342 ms
[  65] 2.640: took 12.162 ms
[  66] 2.680: took 12.108 ms
[  67] 2.720: took 12.319 ms
[  68] 2.760: took 12.394 ms
[  69] 2.800: took 12.508 ms
[  70] 2.840: took 12.478 ms
[  71] 2.880: took 12.153 ms
[  72] 2.920: took 12.292 ms
[  73] 2.960: took 12.015 ms
[  74] 3.000: took 11.844 ms
[  75] 3.040: took 12.262 ms
[  76] 3.080: took 12.290 ms
[  77] 3.120: took 12.104 ms
[  78] 3.160: took 12.324 ms
[  79] 3.200: took 12.263 ms
[  80] 3.240: took 12.466 ms
[  81] 3.280: took 12.006 ms
[  82] 3.320: took 12.349 ms
[  83] 3.360: took 12.305 ms
[  84] 3.400: took 12.232 ms
[  85] 3.440: took 12.313 ms
[  86] 3.480: took 12.270 ms
[  87] 3.520: took 12.408 ms
[  88] 3.560: took 12.170 ms
[  89] 3.600: took 12.034 ms
[  90] 3.640: took 12.364 ms
[  91] 3.680: took 12.389 ms
[  92] 3.720: took 12.351 ms
[  93] 3.760: took 12.196 ms
[  94] 3.800: took 12.173 ms
[  95] 3.840: took 12.548 ms
[  96] 3.880: took 11.761 ms
[  97] 3.920: took 11.891 ms
[  98] 3.960: took 12.166 ms
[  99] 4.000: took 12.102 ms
[ 100] 4.040: took 12.174 ms
[ 101] 4.080: took 12.275 ms
[ 102] 4.120: took 12.341 ms
[ 103] 4.160: took 12.391 ms
[ 104] 4.200: took 11.843 ms
[ 105] 4.240: took 12.102 ms
[ 106] 4.280: took 12.308 ms
[ 107] 4.320: took 12.085 ms
[ 108] 4.360: took 12.262 ms
[ 109] 4.400: took 12.327 ms
[ 110] 4.440: took 12.410 ms
[ 111] 4.480: took 12.054 ms
[ 112] 4.520: took 12.097 ms
[ 113] 4.560: took 12.376 ms
[ 114] 4.600: took 12.222 ms
[ 115] 4.640: took 12.210 ms
[ 116] 4.680: took 12.334 ms
[ 117] 4.720: took 12.188 ms
[ 118] 4.760: took 12.685 ms
[ 119] 4.800: took 12.084 ms
[ 120] 4.840: took 11.963 ms
[ 121] 4.880: took 12.128 ms
[ 122] 4.920: took 12.360 ms
[ 123] 4.960: took 12.500 ms
[ 124] 5.000: took 12.188 ms
[ 125] 5.040: took 12.381 ms
[ 126] 5.080: took 12.030 ms
[ 127] 5.120: took 12.201 ms
[ 128] 5.160: took 12.301 ms
[ 129] 5.200: took 12.185 ms
[ 130] 5.240: took 12.399 ms
[ 131] 5.280: took 12.148 ms
[ 132] 5.320: took 12.303 ms
[ 133] 5.360: took 12.303 ms
[ 134] 5.400: took 11.966 ms
[ 135] 5.440: took 11.703 ms
[ 136] 5.480: took 12.365 ms
[ 137] 5.520: took 12.087 ms
[ 138] 5.560: took 12.403 ms
[ 139] 5.600: took 12.306 ms
[ 140] 5.640: took 12.216 ms
[ 141] 5.680: took 11.992 ms
[ 142] 5.720: took 11.869 ms
[ 143] 5.760: took 12.253 ms
[ 144] 5.800: took 12.337 ms
[ 145] 5.840: took 12.073 ms
[ 146] 5.880: took 12.285 ms
[ 147] 5.920: took 12.267 ms
[ 148] 5.960: took 12.405 ms
[ 149] 6.000: took 11.931 ms
[ 150] 6.040: took 12.112 ms
[ 151] 6.080: took 12.291 ms
[ 152] 6.120: took 12.213 ms
[ 153] 6.160: took 12.399 ms
[ 154] 6.200: took 12.128 ms
[ 155] 6.240: took 12.215 ms
[ 156] 6.280: took 12.210 ms
[ 157] 6.320: took 12.121 ms
[ 158] 6.360: took 12.321 ms
[ 159] 6.400: took 12.454 ms
[ 160] 6.440: took 12.210 ms
[ 161] 6.480: took 12.237 ms
[ 162] 6.520: took 12.436 ms
[ 163] 6.560: took 12.146 ms
[ 164] 6.600: took 12.134 ms
[ 165] 6.640: took 11.898 ms
