2019-01-15 12:48:41.663911: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 12:48:41.664021: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.020: took 31.355 ms
[   1] 0.051: took 16.427 ms
[   2] 0.068: took 16.077 ms
[   3] 0.084: took 16.132 ms
[   4] 0.100: took 16.276 ms
[   5] 0.120: took 16.221 ms
[   6] 0.140: took 16.062 ms
[   7] 0.160: took 16.251 ms
[   8] 0.180: took 16.295 ms
[   9] 0.200: took 16.195 ms
[  10] 0.220: took 16.124 ms
[  11] 0.240: took 16.230 ms
[  12] 0.260: took 16.064 ms
[  13] 0.280: took 16.408 ms
[  14] 0.300: took 16.415 ms
[  15] 0.320: took 16.222 ms
[  16] 0.340: took 16.149 ms
[  17] 0.360: took 16.297 ms
[  18] 0.380: took 16.361 ms
[  19] 0.400: took 16.301 ms
[  20] 0.420: took 16.166 ms
[  21] 0.440: took 16.197 ms
[  22] 0.460: took 16.144 ms
[  23] 0.480: took 16.245 ms
[  24] 0.500: took 16.430 ms
[  25] 0.520: took 16.373 ms
[  26] 0.540: took 16.344 ms
[  27] 0.560: took 16.211 ms
[  28] 0.580: took 16.277 ms
[  29] 0.600: took 16.350 ms
[  30] 0.620: took 16.425 ms
[  31] 0.640: took 16.268 ms
[  32] 0.660: took 18.116 ms
[  33] 0.680: took 16.312 ms
[  34] 0.700: took 16.264 ms
[  35] 0.720: took 16.268 ms
[  36] 0.740: took 16.169 ms
[  37] 0.760: took 16.254 ms
[  38] 0.780: took 16.507 ms
[  39] 0.800: took 16.303 ms
[  40] 0.820: took 16.197 ms
[  41] 0.840: took 16.131 ms
[  42] 0.860: took 16.022 ms
[  43] 0.880: took 16.095 ms
[  44] 0.900: took 16.319 ms
[  45] 0.920: took 16.103 ms
[  46] 0.940: took 16.081 ms
[  47] 0.960: took 16.110 ms
[  48] 0.980: took 16.376 ms
[  49] 1.000: took 16.361 ms
[  50] 1.020: took 16.148 ms
[  51] 1.040: took 16.167 ms
[  52] 1.060: took 16.285 ms
[  53] 1.080: took 16.202 ms
[  54] 1.100: took 16.190 ms
[  55] 1.120: took 16.173 ms
[  56] 1.140: took 16.309 ms
[  57] 1.160: took 16.140 ms
[  58] 1.180: took 16.143 ms
[  59] 1.200: took 16.237 ms
[  60] 1.220: took 16.103 ms
[  61] 1.240: took 16.151 ms
[  62] 1.260: took 16.086 ms
[  63] 1.280: took 16.378 ms
[  64] 1.300: took 16.141 ms
[  65] 1.320: took 16.075 ms
[  66] 1.340: took 15.983 ms
[  67] 1.360: took 16.127 ms
[  68] 1.380: took 16.050 ms
[  69] 1.400: took 16.171 ms
[  70] 1.420: took 16.259 ms
[  71] 1.440: took 16.143 ms
[  72] 1.460: took 16.004 ms
[  73] 1.480: took 16.194 ms
[  74] 1.500: took 16.186 ms
[  75] 1.520: took 16.124 ms
[  76] 1.540: took 16.158 ms
[  77] 1.560: took 16.265 ms
[  78] 1.580: took 16.130 ms
[  79] 1.600: took 16.680 ms
[  80] 1.620: took 16.224 ms
[  81] 1.640: took 16.311 ms
[  82] 1.660: took 16.198 ms
[  83] 1.680: took 16.155 ms
[  84] 1.700: took 16.160 ms
[  85] 1.720: took 16.173 ms
[  86] 1.740: took 16.177 ms
[  87] 1.760: took 16.098 ms
[  88] 1.780: took 16.140 ms
[  89] 1.800: took 16.264 ms
[  90] 1.820: took 16.426 ms
[  91] 1.840: took 16.203 ms
[  92] 1.860: took 16.207 ms
[  93] 1.880: took 16.195 ms
[  94] 1.900: took 16.193 ms
[  95] 1.920: took 16.162 ms
[  96] 1.940: took 16.037 ms
[  97] 1.960: took 16.231 ms
[  98] 1.980: took 16.308 ms
[  99] 2.000: took 16.173 ms
[ 100] 2.020: took 16.007 ms
[ 101] 2.040: took 16.205 ms
[ 102] 2.060: took 16.284 ms
[ 103] 2.080: took 16.130 ms
[ 104] 2.100: took 16.135 ms
[ 105] 2.120: took 16.251 ms
[ 106] 2.140: took 16.073 ms
[ 107] 2.160: took 16.170 ms
[ 108] 2.180: took 18.125 ms
[ 109] 2.200: took 16.915 ms
[ 110] 2.220: took 16.198 ms
[ 111] 2.240: took 16.209 ms
[ 112] 2.260: took 16.259 ms
[ 113] 2.280: took 16.466 ms
[ 114] 2.300: took 16.359 ms
[ 115] 2.320: took 16.196 ms
[ 116] 2.340: took 16.109 ms
[ 117] 2.360: took 16.188 ms
[ 118] 2.380: took 16.251 ms
[ 119] 2.400: took 16.423 ms
[ 120] 2.420: took 16.394 ms
[ 121] 2.440: took 16.171 ms
[ 122] 2.460: took 16.105 ms
[ 123] 2.480: took 16.239 ms
[ 124] 2.500: took 16.239 ms
[ 125] 2.520: took 16.196 ms
[ 126] 2.540: took 16.371 ms
[ 127] 2.560: took 16.299 ms
[ 128] 2.580: took 16.250 ms
[ 129] 2.600: took 16.221 ms
[ 130] 2.620: took 16.154 ms
[ 131] 2.640: took 16.311 ms
[ 132] 2.660: took 16.161 ms
[ 133] 2.680: took 16.415 ms
[ 134] 2.700: took 16.239 ms
[ 135] 2.720: took 16.199 ms
[ 136] 2.740: took 16.179 ms
[ 137] 2.760: took 16.418 ms
[ 138] 2.780: took 16.335 ms
[ 139] 2.800: took 16.404 ms
[ 140] 2.820: took 16.361 ms
[ 141] 2.840: took 16.208 ms
[ 142] 2.860: took 16.113 ms
[ 143] 2.880: took 16.389 ms
[ 144] 2.900: took 16.231 ms
[ 145] 2.920: took 16.300 ms
[ 146] 2.940: took 16.203 ms
[ 147] 2.960: took 16.301 ms
[ 148] 2.980: took 16.190 ms
[ 149] 3.000: took 16.331 ms
[ 150] 3.020: took 16.257 ms
[ 151] 3.040: took 16.301 ms
[ 152] 3.060: took 16.271 ms
[ 153] 3.080: took 16.230 ms
[ 154] 3.100: took 16.438 ms
[ 155] 3.120: took 16.295 ms
[ 156] 3.140: took 16.132 ms
[ 157] 3.160: took 16.160 ms
[ 158] 3.180: took 16.240 ms
[ 159] 3.200: took 16.317 ms
[ 160] 3.220: took 16.194 ms
[ 161] 3.240: took 16.527 ms
[ 162] 3.260: took 16.207 ms
[ 163] 3.280: took 16.210 ms
[ 164] 3.300: took 16.249 ms
[ 165] 3.320: took 16.207 ms
