2019-01-15 12:51:32.160205: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 12:51:32.160313: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.020: took 23.674 ms
[   1] 0.044: took 8.980 ms
[   2] 0.060: took 8.575 ms
[   3] 0.080: took 8.694 ms
[   4] 0.100: took 8.866 ms
[   5] 0.120: took 8.573 ms
[   6] 0.140: took 8.941 ms
[   7] 0.160: took 8.625 ms
[   8] 0.180: took 8.648 ms
[   9] 0.200: took 8.588 ms
[  10] 0.220: took 8.616 ms
[  11] 0.240: took 8.652 ms
[  12] 0.260: took 8.653 ms
[  13] 0.280: took 8.661 ms
[  14] 0.300: took 8.479 ms
[  15] 0.320: took 8.511 ms
[  16] 0.340: took 8.547 ms
[  17] 0.360: took 8.588 ms
[  18] 0.380: took 8.626 ms
[  19] 0.400: took 8.539 ms
[  20] 0.420: took 8.668 ms
[  21] 0.440: took 8.591 ms
[  22] 0.460: took 8.626 ms
[  23] 0.480: took 8.508 ms
[  24] 0.500: took 8.554 ms
[  25] 0.520: took 8.570 ms
[  26] 0.540: took 8.636 ms
[  27] 0.560: took 8.441 ms
[  28] 0.580: took 8.504 ms
[  29] 0.600: took 8.611 ms
[  30] 0.620: took 8.534 ms
[  31] 0.640: took 8.568 ms
[  32] 0.660: took 8.643 ms
[  33] 0.680: took 8.605 ms
[  34] 0.700: took 8.582 ms
[  35] 0.720: took 9.803 ms
[  36] 0.740: took 8.673 ms
[  37] 0.760: took 8.543 ms
[  38] 0.780: took 8.650 ms
[  39] 0.800: took 8.698 ms
[  40] 0.820: took 8.545 ms
[  41] 0.840: took 8.518 ms
[  42] 0.860: took 8.644 ms
[  43] 0.880: took 8.572 ms
[  44] 0.900: took 8.500 ms
[  45] 0.920: took 8.539 ms
[  46] 0.940: took 8.618 ms
[  47] 0.960: took 8.647 ms
[  48] 0.980: took 8.733 ms
[  49] 1.000: took 8.550 ms
[  50] 1.020: took 8.502 ms
[  51] 1.040: took 8.557 ms
[  52] 1.060: took 8.583 ms
[  53] 1.080: took 8.544 ms
[  54] 1.100: took 8.567 ms
[  55] 1.120: took 8.556 ms
[  56] 1.140: took 8.519 ms
[  57] 1.160: took 8.699 ms
[  58] 1.180: took 10.057 ms
[  59] 1.200: took 10.643 ms
[  60] 1.220: took 10.116 ms
[  61] 1.240: took 10.023 ms
[  62] 1.260: took 10.716 ms
[  63] 1.280: took 9.445 ms
[  64] 1.300: took 8.586 ms
[  65] 1.320: took 8.601 ms
[  66] 1.340: took 8.563 ms
[  67] 1.360: took 8.664 ms
[  68] 1.380: took 8.551 ms
[  69] 1.400: took 8.574 ms
[  70] 1.420: took 8.542 ms
[  71] 1.440: took 8.635 ms
[  72] 1.460: took 8.537 ms
[  73] 1.480: took 8.584 ms
[  74] 1.500: took 8.674 ms
[  75] 1.520: took 8.683 ms
[  76] 1.540: took 8.701 ms
[  77] 1.560: took 8.828 ms
[  78] 1.580: took 8.597 ms
[  79] 1.600: took 8.738 ms
[  80] 1.620: took 8.567 ms
[  81] 1.640: took 9.014 ms
[  82] 1.660: took 9.643 ms
[  83] 1.680: took 9.862 ms
[  84] 1.700: took 8.851 ms
[  85] 1.720: took 9.211 ms
[  86] 1.740: took 8.674 ms
[  87] 1.760: took 8.553 ms
[  88] 1.780: took 8.669 ms
[  89] 1.800: took 8.668 ms
[  90] 1.820: took 8.602 ms
[  91] 1.840: took 8.561 ms
[  92] 1.860: took 8.775 ms
[  93] 1.880: took 8.714 ms
[  94] 1.900: took 8.747 ms
[  95] 1.920: took 8.560 ms
[  96] 1.940: took 8.590 ms
[  97] 1.960: took 8.608 ms
[  98] 1.980: took 8.698 ms
[  99] 2.000: took 8.562 ms
[ 100] 2.020: took 8.604 ms
[ 101] 2.040: took 8.620 ms
[ 102] 2.060: took 9.716 ms
[ 103] 2.080: took 8.733 ms
[ 104] 2.100: took 9.292 ms
[ 105] 2.120: took 8.607 ms
[ 106] 2.140: took 8.539 ms
[ 107] 2.160: took 8.680 ms
[ 108] 2.180: took 8.850 ms
[ 109] 2.200: took 8.726 ms
[ 110] 2.220: took 8.969 ms
[ 111] 2.240: took 8.640 ms
[ 112] 2.260: took 8.680 ms
[ 113] 2.280: took 8.610 ms
[ 114] 2.300: took 8.566 ms
[ 115] 2.320: took 8.558 ms
[ 116] 2.340: took 8.598 ms
[ 117] 2.360: took 8.687 ms
[ 118] 2.380: took 8.572 ms
[ 119] 2.400: took 8.571 ms
[ 120] 2.420: took 8.559 ms
[ 121] 2.440: took 8.655 ms
[ 122] 2.460: took 8.569 ms
[ 123] 2.480: took 8.703 ms
[ 124] 2.500: took 9.585 ms
[ 125] 2.520: took 9.906 ms
[ 126] 2.540: took 8.597 ms
[ 127] 2.560: took 9.643 ms
[ 128] 2.580: took 8.668 ms
[ 129] 2.600: took 8.696 ms
[ 130] 2.620: took 8.713 ms
[ 131] 2.640: took 8.639 ms
[ 132] 2.660: took 8.702 ms
[ 133] 2.680: took 8.630 ms
[ 134] 2.700: took 8.629 ms
[ 135] 2.720: took 8.596 ms
[ 136] 2.740: took 8.545 ms
[ 137] 2.760: took 8.724 ms
[ 138] 2.780: took 8.646 ms
[ 139] 2.800: took 8.583 ms
[ 140] 2.820: took 8.571 ms
[ 141] 2.840: took 8.556 ms
[ 142] 2.860: took 8.715 ms
[ 143] 2.880: took 8.607 ms
[ 144] 2.900: took 8.573 ms
[ 145] 2.920: took 8.597 ms
[ 146] 2.940: took 8.552 ms
[ 147] 2.960: took 9.194 ms
[ 148] 2.980: took 8.593 ms
[ 149] 3.000: took 8.572 ms
[ 150] 3.020: took 8.606 ms
[ 151] 3.040: took 8.614 ms
[ 152] 3.060: took 8.608 ms
[ 153] 3.080: took 8.601 ms
[ 154] 3.100: took 8.640 ms
[ 155] 3.120: took 8.569 ms
[ 156] 3.140: took 8.582 ms
[ 157] 3.160: took 8.655 ms
[ 158] 3.180: took 8.682 ms
[ 159] 3.200: took 8.582 ms
[ 160] 3.220: took 8.710 ms
[ 161] 3.240: took 8.595 ms
[ 162] 3.260: took 8.637 ms
[ 163] 3.280: took 8.536 ms
[ 164] 3.300: took 8.737 ms
[ 165] 3.320: took 8.631 ms
