2019-01-15 12:43:33.653267: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 12:43:33.653441: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.020: took 40.946 ms
[   1] 0.061: took 19.384 ms
[   2] 0.081: took 19.061 ms
[   3] 0.100: took 19.156 ms
[   4] 0.119: took 18.992 ms
[   5] 0.138: took 18.994 ms
[   6] 0.157: took 19.166 ms
[   7] 0.176: took 19.236 ms
[   8] 0.196: took 19.076 ms
[   9] 0.215: took 18.976 ms
[  10] 0.234: took 19.496 ms
[  11] 0.253: took 19.289 ms
[  12] 0.273: took 19.384 ms
[  13] 0.292: took 19.104 ms
[  14] 0.311: took 19.198 ms
[  15] 0.331: took 19.294 ms
[  16] 0.350: took 19.113 ms
[  17] 0.369: took 19.138 ms
[  18] 0.388: took 18.977 ms
[  19] 0.407: took 19.023 ms
[  20] 0.426: took 19.518 ms
[  21] 0.446: took 19.284 ms
[  22] 0.465: took 19.033 ms
[  23] 0.485: took 19.155 ms
[  24] 0.504: took 19.088 ms
[  25] 0.523: took 19.206 ms
[  26] 0.542: took 19.041 ms
[  27] 0.561: took 19.248 ms
[  28] 0.581: took 19.139 ms
[  29] 0.600: took 19.208 ms
[  30] 0.620: took 19.105 ms
[  31] 0.640: took 19.176 ms
[  32] 0.660: took 18.903 ms
[  33] 0.680: took 19.098 ms
[  34] 0.700: took 19.042 ms
[  35] 0.720: took 19.302 ms
[  36] 0.740: took 18.950 ms
[  37] 0.760: took 19.026 ms
[  38] 0.780: took 19.096 ms
[  39] 0.800: took 19.049 ms
[  40] 0.820: took 18.800 ms
[  41] 0.840: took 19.073 ms
[  42] 0.860: took 19.044 ms
[  43] 0.880: took 19.415 ms
[  44] 0.900: took 19.026 ms
[  45] 0.920: took 19.256 ms
[  46] 0.940: took 19.141 ms
[  47] 0.960: took 19.095 ms
[  48] 0.980: took 19.002 ms
[  49] 1.000: took 19.391 ms
[  50] 1.020: took 19.030 ms
[  51] 1.040: took 19.093 ms
[  52] 1.060: took 18.989 ms
[  53] 1.080: took 19.086 ms
[  54] 1.100: took 18.908 ms
[  55] 1.120: took 19.586 ms
[  56] 1.140: took 19.168 ms
[  57] 1.160: took 19.329 ms
[  58] 1.180: took 19.061 ms
[  59] 1.200: took 19.111 ms
[  60] 1.220: took 18.966 ms
[  61] 1.240: took 19.150 ms
[  62] 1.260: took 19.024 ms
[  63] 1.280: took 19.050 ms
[  64] 1.300: took 18.875 ms
[  65] 1.320: took 19.171 ms
[  66] 1.340: took 18.652 ms
[  67] 1.360: took 19.096 ms
[  68] 1.380: took 19.103 ms
[  69] 1.400: took 19.302 ms
[  70] 1.420: took 19.009 ms
[  71] 1.440: took 19.236 ms
[  72] 1.460: took 19.083 ms
[  73] 1.480: took 19.260 ms
[  74] 1.500: took 19.017 ms
[  75] 1.520: took 19.410 ms
[  76] 1.540: took 19.253 ms
[  77] 1.560: took 19.056 ms
[  78] 1.580: took 19.041 ms
[  79] 1.600: took 19.231 ms
[  80] 1.620: took 18.961 ms
[  81] 1.640: took 19.115 ms
[  82] 1.660: took 19.166 ms
[  83] 1.680: took 19.344 ms
[  84] 1.700: took 18.752 ms
[  85] 1.720: took 19.103 ms
[  86] 1.740: took 18.985 ms
[  87] 1.760: took 19.248 ms
[  88] 1.780: took 19.656 ms
[  89] 1.800: took 19.259 ms
[  90] 1.820: took 19.031 ms
[  91] 1.840: took 19.100 ms
[  92] 1.860: took 19.158 ms
[  93] 1.880: took 19.158 ms
[  94] 1.900: took 19.095 ms
[  95] 1.920: took 19.220 ms
[  96] 1.940: took 19.152 ms
[  97] 1.960: took 19.037 ms
[  98] 1.980: took 19.116 ms
[  99] 2.000: took 19.236 ms
[ 100] 2.020: took 19.372 ms
[ 101] 2.040: took 19.108 ms
[ 102] 2.060: took 19.252 ms
[ 103] 2.080: took 19.066 ms
[ 104] 2.100: took 19.155 ms
[ 105] 2.120: took 19.083 ms
[ 106] 2.140: took 19.020 ms
[ 107] 2.160: took 19.190 ms
[ 108] 2.180: took 19.044 ms
[ 109] 2.200: took 19.277 ms
[ 110] 2.220: took 19.194 ms
[ 111] 2.240: took 18.753 ms
[ 112] 2.260: took 19.073 ms
[ 113] 2.280: took 19.368 ms
[ 114] 2.300: took 19.277 ms
[ 115] 2.320: took 18.981 ms
[ 116] 2.340: took 19.054 ms
[ 117] 2.360: took 19.181 ms
[ 118] 2.380: took 19.089 ms
[ 119] 2.400: took 19.197 ms
[ 120] 2.420: took 19.380 ms
[ 121] 2.440: took 19.164 ms
[ 122] 2.460: took 18.790 ms
[ 123] 2.480: took 19.202 ms
[ 124] 2.500: took 18.771 ms
[ 125] 2.520: took 19.053 ms
[ 126] 2.540: took 19.282 ms
[ 127] 2.560: took 18.832 ms
[ 128] 2.580: took 18.896 ms
[ 129] 2.600: took 19.057 ms
[ 130] 2.620: took 18.948 ms
[ 131] 2.640: took 19.255 ms
[ 132] 2.660: took 19.026 ms
[ 133] 2.680: took 19.923 ms
[ 134] 2.700: took 19.136 ms
[ 135] 2.720: took 20.484 ms
[ 136] 2.741: took 19.882 ms
[ 137] 2.761: took 19.042 ms
[ 138] 2.780: took 19.183 ms
[ 139] 2.800: took 19.378 ms
[ 140] 2.820: took 19.027 ms
[ 141] 2.840: took 19.068 ms
[ 142] 2.860: took 18.902 ms
[ 143] 2.880: took 19.209 ms
[ 144] 2.900: took 18.977 ms
[ 145] 2.920: took 19.424 ms
[ 146] 2.940: took 19.033 ms
[ 147] 2.960: took 19.374 ms
[ 148] 2.980: took 19.054 ms
[ 149] 3.000: took 19.161 ms
[ 150] 3.020: took 19.308 ms
[ 151] 3.040: took 19.549 ms
[ 152] 3.060: took 19.539 ms
[ 153] 3.080: took 21.028 ms
[ 154] 3.101: took 19.103 ms
[ 155] 3.120: took 19.143 ms
[ 156] 3.140: took 19.033 ms
[ 157] 3.160: took 19.261 ms
[ 158] 3.180: took 20.707 ms
[ 159] 3.201: took 19.145 ms
[ 160] 3.220: took 19.081 ms
[ 161] 3.240: took 19.364 ms
[ 162] 3.260: took 19.002 ms
[ 163] 3.280: took 19.612 ms
[ 164] 3.300: took 19.141 ms
[ 165] 3.320: took 19.102 ms
