2019-01-15 12:52:54.277249: E tensorflow/stream_executor/cuda/cuda_driver.cc:397] failed call to cuInit: CUDA_ERROR_NO_DEVICE
2019-01-15 12:52:54.277357: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:145] kernel driver does not appear to be running on this host (tegra-ubuntu): /proc/driver/nvidia/version does not exist
DNN is on
verbose: 1
Initilize NULL camera. (320 x 240)
camera init completed.
Load TF
Load Model
/home/nvidia/ssd/gits/sandbox/deeppicar/models/model-5conv_3fc-ittc_room.ckpt
Done..
[   0] 0.020: took 22.991 ms
[   1] 0.043: took 8.038 ms
[   2] 0.060: took 8.448 ms
[   3] 0.080: took 8.755 ms
[   4] 0.100: took 8.260 ms
[   5] 0.120: took 7.636 ms
[   6] 0.140: took 7.880 ms
[   7] 0.160: took 7.695 ms
[   8] 0.180: took 7.649 ms
[   9] 0.200: took 7.629 ms
[  10] 0.220: took 7.641 ms
[  11] 0.240: took 7.659 ms
[  12] 0.260: took 8.232 ms
[  13] 0.280: took 8.143 ms
[  14] 0.300: took 7.670 ms
[  15] 0.320: took 7.592 ms
[  16] 0.340: took 7.671 ms
[  17] 0.360: took 7.614 ms
[  18] 0.380: took 7.636 ms
[  19] 0.400: took 7.502 ms
[  20] 0.420: took 7.473 ms
[  21] 0.440: took 7.644 ms
[  22] 0.460: took 7.753 ms
[  23] 0.480: took 7.603 ms
[  24] 0.500: took 7.596 ms
[  25] 0.520: took 7.672 ms
[  26] 0.540: took 8.192 ms
[  27] 0.560: took 8.099 ms
[  28] 0.580: took 7.606 ms
[  29] 0.600: took 7.555 ms
[  30] 0.620: took 8.620 ms
[  31] 0.640: took 7.638 ms
[  32] 0.660: took 8.226 ms
[  33] 0.680: took 8.171 ms
[  34] 0.700: took 8.189 ms
[  35] 0.720: took 7.593 ms
[  36] 0.740: took 7.622 ms
[  37] 0.760: took 7.869 ms
[  38] 0.780: took 7.708 ms
[  39] 0.800: took 8.100 ms
[  40] 0.820: took 7.620 ms
[  41] 0.840: took 7.571 ms
[  42] 0.860: took 7.605 ms
[  43] 0.880: took 7.682 ms
[  44] 0.900: took 7.556 ms
[  45] 0.920: took 7.544 ms
[  46] 0.940: took 7.590 ms
[  47] 0.960: took 7.678 ms
[  48] 0.980: took 7.667 ms
[  49] 1.000: took 7.634 ms
[  50] 1.020: took 8.125 ms
[  51] 1.040: took 8.408 ms
[  52] 1.060: took 8.861 ms
[  53] 1.080: took 7.752 ms
[  54] 1.100: took 8.423 ms
[  55] 1.120: took 7.802 ms
[  56] 1.140: took 7.811 ms
[  57] 1.160: took 8.040 ms
[  58] 1.180: took 7.916 ms
[  59] 1.200: took 7.577 ms
[  60] 1.220: took 7.552 ms
[  61] 1.240: took 7.576 ms
[  62] 1.260: took 7.585 ms
[  63] 1.280: took 7.622 ms
[  64] 1.300: took 7.548 ms
[  65] 1.320: took 7.615 ms
[  66] 1.340: took 7.656 ms
[  67] 1.360: took 7.623 ms
[  68] 1.380: took 7.637 ms
[  69] 1.400: took 7.662 ms
[  70] 1.420: took 7.589 ms
[  71] 1.440: took 8.085 ms
[  72] 1.460: took 8.221 ms
[  73] 1.480: took 8.234 ms
[  74] 1.500: took 7.613 ms
[  75] 1.520: took 8.115 ms
[  76] 1.540: took 7.588 ms
[  77] 1.560: took 7.608 ms
[  78] 1.580: took 7.568 ms
[  79] 1.600: took 7.677 ms
[  80] 1.620: took 7.613 ms
[  81] 1.640: took 7.587 ms
[  82] 1.660: took 7.558 ms
[  83] 1.680: took 7.631 ms
[  84] 1.700: took 7.577 ms
[  85] 1.720: took 7.600 ms
[  86] 1.740: took 7.491 ms
[  87] 1.760: took 7.577 ms
[  88] 1.780: took 7.641 ms
[  89] 1.800: took 7.555 ms
[  90] 1.820: took 7.675 ms
[  91] 1.840: took 8.320 ms
[  92] 1.860: took 7.687 ms
[  93] 1.880: took 7.868 ms
[  94] 1.900: took 7.503 ms
[  95] 1.920: took 7.594 ms
[  96] 1.940: took 7.581 ms
[  97] 1.960: took 7.557 ms
[  98] 1.980: took 7.611 ms
[  99] 2.000: took 7.510 ms
[ 100] 2.020: took 7.484 ms
[ 101] 2.040: took 7.584 ms
[ 102] 2.060: took 7.510 ms
[ 103] 2.080: took 7.520 ms
[ 104] 2.100: took 7.504 ms
[ 105] 2.120: took 7.575 ms
[ 106] 2.140: took 7.571 ms
[ 107] 2.160: took 7.655 ms
[ 108] 2.180: took 7.860 ms
[ 109] 2.200: took 7.720 ms
[ 110] 2.220: took 8.129 ms
[ 111] 2.240: took 8.728 ms
[ 112] 2.260: took 8.128 ms
[ 113] 2.280: took 7.699 ms
[ 114] 2.300: took 8.115 ms
[ 115] 2.320: took 7.567 ms
[ 116] 2.340: took 7.611 ms
[ 117] 2.360: took 7.603 ms
[ 118] 2.380: took 7.672 ms
[ 119] 2.400: took 7.594 ms
[ 120] 2.420: took 7.532 ms
[ 121] 2.440: took 7.629 ms
[ 122] 2.460: took 7.576 ms
[ 123] 2.480: took 7.649 ms
[ 124] 2.500: took 7.563 ms
[ 125] 2.520: took 7.567 ms
[ 126] 2.540: took 7.671 ms
[ 127] 2.560: took 7.608 ms
[ 128] 2.580: took 7.672 ms
[ 129] 2.600: took 7.730 ms
[ 130] 2.620: took 8.335 ms
[ 131] 2.640: took 7.511 ms
[ 132] 2.660: took 7.640 ms
[ 133] 2.680: took 7.697 ms
[ 134] 2.700: took 7.745 ms
[ 135] 2.720: took 7.633 ms
[ 136] 2.740: took 7.737 ms
[ 137] 2.760: took 7.663 ms
[ 138] 2.780: took 7.994 ms
[ 139] 2.800: took 8.070 ms
[ 140] 2.820: took 7.641 ms
[ 141] 2.840: took 8.207 ms
[ 142] 2.860: took 7.635 ms
[ 143] 2.880: took 7.530 ms
[ 144] 2.900: took 7.652 ms
[ 145] 2.920: took 7.489 ms
[ 146] 2.940: took 7.482 ms
[ 147] 2.960: took 7.673 ms
[ 148] 2.980: took 7.732 ms
[ 149] 3.000: took 8.276 ms
[ 150] 3.020: took 8.324 ms
[ 151] 3.040: took 8.230 ms
[ 152] 3.060: took 7.988 ms
[ 153] 3.080: took 8.072 ms
[ 154] 3.100: took 7.635 ms
[ 155] 3.120: took 7.618 ms
[ 156] 3.140: took 7.590 ms
[ 157] 3.160: took 7.642 ms
[ 158] 3.180: took 7.565 ms
[ 159] 3.200: took 7.738 ms
[ 160] 3.220: took 7.531 ms
[ 161] 3.240: took 7.561 ms
[ 162] 3.260: took 7.605 ms
[ 163] 3.280: took 7.624 ms
[ 164] 3.300: took 7.601 ms
[ 165] 3.320: took 7.607 ms
